,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
991,BDU-002312,INYO,WINTERTON,2011-03-09,2011-03-09,CALFIRE,395.0,DEBRIS,2011,2011,0.013463767127956916
992,BDU-002915,INYO,CENTER,2011-03-18,2011-03-20,CALFIRE,850.0,UNDETERMINED,2011,2011,0.028972663439907287
993,BEU-001593,MONTEREY,METZ,2011-05-12,2011-05-14,CALFIRE,832.0,OTHER,2011,2011,0.02835912468470925
994,SQF-001234,KERN,COVE,2011-05-27,2011-05-31,USFS,1122.0,UI,2011,2011,0.03824391574067762
995,BEU-0001778,MONTEREY,CATTLEMAN,2011-05-29,2011-05-29,CALFIRE,382.0,OTHER,2011,2011,0.013020655804758334
996,MDF-0000181,MODOC,COUGAR,2011-06-08,2011-06-13,USFS,2000.0,HUMAN,2011,2011,0.06817097279978185
997,KRN-1117159,KERN,IKEA,2011-06-12,2011-06-12,LOCAL,640.0,OTHER,2011,2011,0.021814711295930194
998,KRN-017988,KERN,ANTELOPE,2011-06-19,2011-06-21,LOCAL,5200.0,UNDETERMINE,2011,2011,0.17724452927943282
999,KRN-1118260,KERN,QUINN,2011-06-21,2011-06-22,LOCAL,3154.0,UNDETERMINE,2011,2011,0.10750562410525598
1000,SLU-4752 (1),SAN LUIS OBISPO,HIGHWAY,2011-06-24,2011-06-24,CAL FIRE,387.0,EQUIPMENT,2011,2011,0.013191083236757788
1001,TCU-5166,STANISLAUS,EASTMAN,2011-06-24,2011-06-24,CAL FIRE,330.0,OTHER,2011,2011,0.011248210511964006
1002,MMU- 9446,MERCED,REST,2011-06-26,2011-06-26,CAL FIRE,575.0,OTHER,2011,2011,0.019599154679937284
1003,TUU-000134,TULARE,STAGE,2011-06-27,2011-07-02,CALFIRE,1213.0,EQUIPMENT,2011,2011,0.041345695003067694
1004,HUU-003190,HUMBOLDT,SPANISH,2011-07-01,2011-07-05,CALFIRE,498.0,HUMAN,2011,2011,0.01697457222714568
1005,SCU-002637,SAN JOAQUIN,CHRISMAN,2011-07-05,2011-07-05,CALFIRE,400.0,EQUIPMENT,2011,2011,0.01363419455995637
1006,ORC-045067,ORANGE,CARBON CANYON,2011-07-07,2011-07-08,LOCAL,508.0,UNDETERMINE,2011,2011,0.01731542709114459
1007,SQF-002087,TULARE,LION,2011-07-08,2011-10-10,USFS,20500.0,LIGHTNING,2011,2011,0.698752471197764
1008,TUU-0000188,TULARE,GRANITE,2011-07-09,2011-07-12,CALFIRE,780.0,UNDETERMINED,2011,2011,0.026586679391914923
1009,NEU-0015232,YUBA,KRISTA,2011-07-09,2011-07-11,CALFIRE,360.0,EQUIPMENT,2011,2011,0.012270775103960734
1010,SCU-0002779,ALAMEDA,FLYNN,2011-07-14,2011-07-14,CALFIRE,500.0,EQUIPMENT,2011,2011,0.017042743199945462
1011,MDF-00324,MODOC,SCORPION COMPLEX,2011-07-15,2011-07-18,USFS,2945.0,UI,2011,2011,0.10038175744767878
