,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
728,LNU-1057,LAKE,"CONTROL BURN, GEYSERS",2008-02-13,2008-02-13,LOCAL,400.0,DEBRIS,2008,2008,0.002082921088534561
729,BDU-002993,INYO,BLUFF,2008-03-16,2008-03-20,CDF,680.0,CAMPFIRE,2008,2008,0.0035409658505087534
730,YNP-764,MARIPOSA,WAWONA NW,2008-04-09,2008-04-19,"NPS, USFS",1130.0,0,2008,2008,0.005884252075110135
731,RRU-32590,RIVERSIDE,JOHNSON VMP,2008-04-11,2008-05-29,LOCAL,424.0,DEBRIS,2008,2008,0.0022078963538466347
732,,LOS ANGELES,SANTA ANITA,2008-04-26,2008-05-02,OCAL/LAC,584.0,1,2008,2008,0.003041064789260459
733,BDF-5147,RIVERSIDE,APACHE,2008-04-29,2008-05-04,USFS,769.0,SMOKING,2008,2008,0.004004415792707694
734,TGU-003102,TEHAMA,COLYEAR,2008-05-06,2008-05-09,CDF,1331.0,DEBRIS,2008,2008,0.006930919922098751
735,INF-282,TULARE,HONEY BEE,2008-05-06,2008-05-23,USFS,1225.0,LIGHTNING,2008,2008,0.006378945833637093
736,ANF-1444,LOS ANGELES,BIGHORN,2008-05-14,2008-05-21,USFS,490.0,MISC.,2008,2008,0.002551578333454837
737,FKU-5639,FRESNO,AVOCADO,2008-05-20,2008-05-21,CDF,1100.0,EQUIP,2008,2008,0.005728032993470042
738,SCU-2548,"SANTA CRUZ/ SANTA
CLARA",SUMMIT,2008-05-22,2008-05-27,CDF,4270.0,UI,2008,2008,0.022235182620106438
739,FKU-5724,FRESNO,GATOS,2008-05-22,2008-05-22,CDF,331.0,POWERLINES,2008,2008,0.0017236172007623492
740,SQF-967,TULARE,CLOVER,2008-05-28,2008-07-20,USFS,15300.0,LIGHTNING,2008,2008,0.07967173163644695
741,,RIVERSIDE,JOHNSON VMP,2008-05-28,2008-05-29,CDF,424.0,EQUIP,2008,2008,0.0022078963538466347
742,LNU-4180,SONOMA,85,2008-06-05,2008-06-06,CDF,322.0,POWER EQUIP,2008,2008,0.0016767514762703216
743,KRN-016886,KERN,GRAPEVINE,2008-06-06,2008-06-08,CDF/CC,507.0,UI,2008,2008,0.002640102479717556
744,CDD-6343,SAN BERNARDINO,ACOMA,2008-06-07,2008-06-10,BLM,356.0,UI,2008,2008,0.0018537997687957592
745,SQF-1023,KERN,RICHBAR,2008-06-07,2008-06-08,USFS,312.0,ARSON,2008,2008,0.0016246784490569575
746,LPF-1491,MONTEREY,INDIANS,2008-06-08,2008-07-10,USFS,81378.0,CAMPFIRE,2008,2008,0.42375988085691374
747,AEU-10884,SACRAMENTO,JACKSON,2008-06-10,2008-06-12,LOCAL,6400.0,UI,2008,2008,0.033326737416552975
748,MMU-7347,MADERA,41,2008-06-10,2008-06-11,CDF,3300.0,EQUIP,2008,2008,0.017184098980410126
749,BTU-7021,BUTTE,Ophir,2008-06-10,2008-06-13,LOCAL,1600.0,UI,2008,2008,0.008331684354138244
750,TCU-5302,TUOLUMNE,LAGRANGE,2008-06-10,2008-06-11,CDF,1346.0,EQUIP,2008,2008,0.007009029462918797
751,LNU-4321,SONOMA,PINE,2008-06-10,2008-06-13,CDF,989.0,UNDETERMINE,2008,2008,0.005150022391401702
752,BTU-7089,BUTTE,HUMBOLDT,2008-06-11,2008-06-21,CDF,23344.0,ARSON,2008,2008,0.12155927472687697
753,CZU-5238,SANTA CRUZ,MARTIN,2008-06-11,2008-06-28,CDF,520.0,CAMPFIRE,2008,2008,0.002707797415094929
754,MNF-2009,TEHAMA,WHISKEY,2008-06-12,2008-06-22,USFS,7783.0,MISC.,2008,2008,0.04052843708016122
760,CZU-5581,SANTA CRUZ,TRABING,2008-06-20,2008-06-24,CDF,630.0,EQUIP,2008,2008,0.0032806007144419334
759,MEU-4607,MENDOCINO,ALBION RIVER LIGHTNING,2008-06-20,2008-06-30,CDF,1000.0,LIGHTNING,2008,2008,0.0052073027213364025
758,SRF-1120,HUMBOLDT/TRINITY,MAD COMPLEX,2008-06-20,2008-07-21,USFS,3705.0,LIGHTNING,2008,2008,0.01929305658255137
756,SRF-1126,HUMBOLDT,UKONOM-SOUTH COMPLEX,2008-06-20,2008-09-15,USFS,29327.0,LIGHTNING,2008,2008,0.15271456690863267
755,SHF-1041,TRINITY,LIME COMPLEX,2008-06-20,2008-08-15,USFS/BLM,98715.0,LIGHTNING,2008,2008,0.5140388881367229
757,SRF-1123,HUMBOLDT-TRINITY,HELLS HALF COMPLEX,2008-06-20,2008-07-28,USFS,15146.0,LIGHTNING,2008,2008,0.07886980701736114
787,LMU-2725,SHASTA/LASSEN,POPCORN,2008-06-21,2008-06-22,CDF,3000.0,LIGHTNING,2008,2008,0.015621908164009206
788,MEU-4617,MENDOCINO,WAGERS LIGHTNING,2008-06-21,2008-06-21,CDF,3000.0,LIGHTNING,2008,2008,0.015621908164009206
789,STF-1063,TUOLUMNE,NORTH MOUNTAIN,2008-06-21,2008-07-03,USFS,2889.0,LIGHTNING,2008,2008,0.015043897561940866
790,SHU-5827,SHASTA,IGO 17,2008-06-21,2008-07-24,CDF,2400.0,LIGHTNING,2008,2008,0.012497526531207365
791,SNF-715,MADERA/MARIPOSA,OLIVER,2008-06-21,2008-06-26,USFS,2200.0,LIGHTNING,2008,2008,0.011456065986940085
792,SHU-4733,SHASTA,WHITMORE RD/OLD CROW C2,2008-06-21,2008-07-15,CDF,2054.0,LIGHTNING,2008,2008,0.01069579978962497
793,SHU-5656,TRINITY,LEWISTON 8,2008-06-21,2008-07-23,CDF,1311.0,LIGHTNING,2008,2008,0.006826773867672023
794,BTU,BUTTE,FLEA VALLEY,2008-06-21,2008-06-21,CDF,1248.0,LIGHTNING,2008,2008,0.00649871379622783
795,BTU-9806,BUTTE,FLEA VALLEY #2,2008-06-21,2008-06-21,CDF,1248.0,MISC.,2008,2008,0.00649871379622783
796,SHU-5822,SHASTA,IGO 15,2008-06-21,2008-07-24,CDF,1200.0,LIGHTNING,2008,2008,0.006248763265603682
797,SHU-5566,SHASTA,EO2A,2008-06-21,2008-07-06,CDF,1200.0,LIGHTNING,2008,2008,0.006248763265603682
799,HUU-3423,HUMBOLDT,PARADISE,2008-06-21,2008-08-01,CDF,1076.0,LIGHTNING,2008,2008,0.005603057728157969
800,BTU-9812,BUTTE,LYNCH,2008-06-21,2008-06-21,CDF,800.0,MISC.,2008,2008,0.004165842177069122
801,SCU-3094,SANTA CLARA,HUMMINGBIRD,2008-06-21,2008-06-24,CDF,750.0,LIGHTNING,2008,2008,0.0039054770410023015
802,BTU-7577,BUTTE,BREAKNECK,2008-06-21,2008-07-09,CDF,715.0,LIGHTNING,2008,2008,0.0037232214457555276
803,SHU-5817,SHASTA,IGO 13,2008-06-21,2008-07-24,CDF,600.0,LIGHTNING,2008,2008,0.003124381632801841
804,SNF-0718,MARIPOSA /MADER,SILVER KNOB,2008-06-21,2008-07-02,USFS,600.0,LIGHTNING,2008,2008,0.003124381632801841
