,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
1284,SLU-5280,SAN LUIS OBISPO,CAMP ROBERTS,2016-05-18,2016-05-20,MIL,3712.0,UNDETERMINED,2016,2016,0.035954359659828364
1285,BEU-2369,MONTEREY,METZ,2016-05-22,2016-05-25,CAL FIRE,3876.0,DEBRIS BURNING,2016,2016,0.037542860463764746
1286,CND-1134,TULARE,CHIMNEY,2016-06-01,2016-06-07,BLM,1324.0,HUMAN,2016,2016,0.012824238197632747
1287,FHL-1475,MONTEREY,STONY,2016-06-02,2016-06-17,USFS,3000.0,UNDETERMINED,2016,2016,0.02905794153542163
1288,LPF-1504,MONTEREY,COLEMAN,2016-06-04,2016-06-17,USFS,2520.0,UNDETERMINED,2016,2016,0.02440867088975417
1289,CND-1171,SAN LUIS OBISPO,SODA,2016-06-04,2016-06-06,BLM,2003.0,UNDETERMINED,2016,2016,0.01940101896514984
1290,LAC-457,LOS ANGELES,OLD,2016-06-04,2016-06-10,LOCAL,465.0,UNDETERMINED,2016,2016,0.004503980937990352
1291,KNF-4500,SISKIYOU,PONY,2016-06-07,2016-10-02,USFS,2860.0,UNDETERMINED,2016,2016,0.02770190426376862
1292,SBC-7344,SANTA BARBARA,SHERPA,2016-06-15,2016-06-23,USFS,7474.0,UNDETERMINED,2016,2016,0.07239301834524708
1293,MVU-14498,SAN DIEGO,BORDER 3,2016-06-19,2016-07-01,CAL FIRE,7609.0,UNDETERMINED,2016,2016,0.07370062571434106
1294,LAC-177288,LOS ANGELES,FISH,2016-06-20,2016-07-05,USFS,4253.0,HUMAN,2016,2016,0.04119447511671607
1295,ANF-2417,LOS ANGELES,RESERVOIR,2016-06-20,2016-07-05,USFS,1146.0,HUMAN,2016,2016,0.011100133666531063
1296,CND-1415,KERN,ERSKINE,2016-06-23,2016-07-09,USFS,48019.0,UNDETERMINED,2016,2016,0.46511109819647045
1297,INF-992,MONO,MARINA,2016-06-24,2016-07-04,USFS,654.0,UNDETERMINED,2016,2016,0.006334631254721916
1298,BTU-7042,PLUMAS,BOULDER COMPLEX,2016-06-25,2006-07-05,USFS,3500.0,LIGHTNING,2016,2006,0.03390093179132524
