,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
0,TGU-803,Mendocino NFMNF--154,Town,2000-03-31,2000-04-05,USFS,1500.0,escape control,2000,2000,0.02015072744126063
1,MNF-177,Mendocino NF,Cabbage,2000-04-01,2000-04-01,USFS,1540.0,?,2000,2000,0.02068808017302758
2,TGU-851,Mendocino NF MNF_178,Franklin,2000-04-02,2000-04-03,USFS,400.0,na,2000,2000,0.005373527317669501
3,LMU-630,Lassen NF,PNF 151 (Robinson),2000-04-04,2000-04-05,USFS,500.0,na,2000,2000,0.006716909147086877
4,BDU-4016,Mono County,Assist (Azusa),2000-05-29,2000-06-01,USFS,740.0,Campfire,2000,2000,0.009941025537688577
5,TUU-4863,Tulare,Elephant,2000-06-01,2000-06-01,CDF,497.0,Control Burn,2000,2000,0.006676607692204356
6,ANF-2059,Los Angeles,Dry,2000-06-06,2000-06-06,USFS,356.0,Under Invest.,2000,2000,0.004782439312725856
7,VNC-14831,Ventura,Calabasas,2000-06-11,2000-06-11,CC,800.0,Under Invest.,2000,2000,0.010747054635339003
8,LNU-3087,Napa,Berryessa,2000-06-13,2000-06-16,CDF,5731.0,Equip. Use,2000,2000,0.07698921264390977
9,BTU-5945,Butte,Larkin,2000-06-13,2000-06-13,CDF,475.0,Under Invest.,2000,2000,0.0063810636897325326
10,TUU-5549,Tulare,Lindsay,2000-06-18,2000-06-18,CDF,400.0,Arson,2000,2000,0.005373527317669501
11,VNC-16413,Ventura,Telegraph,2000-06-26,2000-06-26,CC,400.0,Equip. Use,2000,2000,0.005373527317669501
12,VNC-16413,Ventura,Telegraph,2000-06-26,2000-06-26,CC,400.0,Equip. Use,2000,2000,0.005373527317669501
13,TUU-5954,Tulare,Richgrove,2000-06-28,2000-06-28,CDF,450.0,Elec. Power,2000,2000,0.0060452182323781885
14,TUU-5954,Tulare,Richgrove,2000-06-28,2000-06-28,CDF,450.0,Elec. Power,2000,2000,0.0060452182323781885
15,MVU-4431,San Diego (exp002 in),Barrett,2000-06-29,2000-06-30,CDF,2000.0,Under Invest.,2000,2000,0.026867636588347506
16,MVU-4431,San Diego (exp002 in),Barrett,2000-06-29,2000-06-30,CDF,2000.0,Under Invest.,2000,2000,0.026867636588347506
17,MMU-9447,Mariposa,Granite,2000-07-02,2000-07-04,CDF,2000.0,Shooter,2000,2000,0.026867636588347506
18,MMU-9447,Mariposa,Granite,2000-07-02,2000-07-04,CDF,2000.0,Shooter,2000,2000,0.026867636588347506
19,BDU-5166,San Bernardino,Citrus,2000-07-03,2000-07-04,CDF,600.0,Under Invest.,2000,2000,0.008060290976504252
20,BDU-5166,San Bernardino,Citrus,2000-07-03,2000-07-04,CDF,600.0,Under Invest.,2000,2000,0.008060290976504252
22,BDU-5318,San Bernardino,Assist (Morgan),2000-07-07,2000-07-08,USFS,300.0,Under Invest.,2000,2000,0.004030145488252126
21,BDU-5318,San Bernardino,Assist (Morgan),2000-07-07,2000-07-08,USFS,300.0,Under Invest.,2000,2000,0.004030145488252126
23,TUU-6521,Tulare,Success,2000-07-09,2000-07-09,CDF,320.0,Arson,2000,2000,0.004298821854135601
24,TUU-6521,Tulare,Success,2000-07-09,2000-07-09,CDF,320.0,Arson,2000,2000,0.004298821854135601
25,LMU-1817,Lassen,Goat,2000-07-17,2000-07-20,CDF,1084.0,Campfire,2000,2000,0.014562259030884348
26,LMU-1817,Lassen,Goat,2000-07-17,2000-07-20,CDF,1084.0,Campfire,2000,2000,0.014562259030884348
27,SKU-2492,Siskiyou,Bark KNF Assist #12,2000-07-21,2000-07-26,USFS,1715.0,Under Invest.,2000,2000,0.023038998374507985
28,SKU-2492,Siskiyou,Bark KNF Assist #12,2000-07-21,2000-07-26,USFS,1715.0,Under Invest.,2000,2000,0.023038998374507985
