,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
390,BDF-3917,SAN BERNARDINO,UPPER SANTA ANA,2004-03-25,2004-03-26,USFS,350.0,ESCAPE,2004,2004,0.00894271551944402
391,SHF-000443,TEHAMA,SHF ASSIST (HAMILTON),2004-04-09,2004-04-12,USFS,301.0,HUMAN,2004,2004,0.007690735346721856
392,RRU-032913,RIVERSIDE,PLEASURE FIRE,2004-04-25,2004-04-26,CDF,2464.0,VEHICLE,2004,2004,0.0629567172568859
393,RRU-35190,RIVERSIDE,EAGLE,2004-05-02,2004-05-07,CDF,8831.0,UNDETERMINED,2004,2004,0.2256374878634575
394,MVU-003337,SAN DIEGO,ASSIST #31 (INDIA FIRE),2004-05-02,2004-05-03,MIL.,2040.0,UI,2004,2004,0.05212325617047371
395,RRU-35197,RIVERSIDE,GAFFORD,2004-05-02,2004-05-03,CDF,450.0,UNDETERMINED,2004,2004,0.011497777096428024
396,RRU-035517,RIVERSIDE,CERRITO FIRE 681,2004-05-03,2004-05-07,CDF,16460.0,UNDETERMINED,2004,2004,0.42056313557156727
397,SLU-3169,SANTA BARBARA,ASSIST #6 (CACHUMA),2004-05-03,2004-05-07,LOC,1127.0,UI,2004,2004,0.02879554397260974
398,RRU-35567,RIVERSIDE,SCHOOL INC.,2004-05-03,2004-05-03,CDF,377.0,DEBRIS,2004,2004,0.0096325821452297
399,TUU-004886,TULARE,FRAZIER,2004-05-07,2004-05-07,CDF,750.0,EQUIP. USE,2004,2004,0.01916296182738004
400,RRU-38418,RIVERSIDE,COTTONWOOD,2004-05-12,2004-05-15,CDF,1845.0,CAMPFIRE,2004,2004,0.0471408860953549
401,CA-PNF-379,PLUMAS,COTTONWOOD,2004-05-18,2004-05-18,USFS,560.0,HUMAN,2004,2004,0.01430834483111043
402,TUU-005509,TULARE,STAGE,2004-05-21,2004-05-21,CDF,313.0,POWERLINE,2004,2004,0.007997342735959936
403,MMU-8972,MERCED,BASALT,2004-05-21,2004-05-21,CDF,300.0,EQUIP. USE,2004,2004,0.007665184730952016
404,NEU-009119,YUBA,BEALE,2004-06-03,2004-06-03,CDF,300.0,POWERLINE,2004,2004,0.007665184730952016
405,SCU-003038,SANTA CLARA,PRIDMORE,2004-06-04,2004-06-04,CDF,300.0,VEHICLE,2004,2004,0.007665184730952016
406,SBC-4032,SANTA BARBARA,GAVIOTA,2004-06-05,2004-06-11,CC,7440.0,UI,2004,2004,0.19009658132761
407,TUU-006407,TULARE,CASTLE,2004-06-08,2004-06-08,CDF,571.0,UNDETERMINED,2004,2004,0.01458940160457867
408,SNF-1029,MADERA,SOURCE,2004-06-16,2004-06-16,USFS,385.0,UI,2004,2004,0.00983698707138842
409,TUU-6885,KERN,KERN #11 (WEST FIRE),2004-06-18,2004-06-18,CC,550.0,HUMAN,2004,2004,0.014052838673412029
410,AEU-010202,AMADOR,MOKE ASSIST,2004-06-20,2004-06-20,USFS,400.0,UNDETERMINED,2004,2004,0.010220246307936021
411,LMU-1852,LASSEN,SKEDADDLE,2004-06-22,2004-06-24,USFS,368.0,LIGHTNING,2004,2004,0.009402626603301139
412,SQF-1461,TULARE,CRAG,2004-06-24,2004-06-24,USFS,871.0,LIGHTNING,2004,2004,0.022254586335530686
413,FKU-007654,FRESNO,FKU-7654,2004-06-26,2004-06-26,LOC,5000.0,CONTROL BURN,2004,2004,0.12775307884920026
414,BDU-6547,LOS ANGELES,ASSIST ANF (INTERSTATE06/26/04,2004-06-26,2004-06-26,USFS,300.0,HUMAN,2004,2004,0.007665184730952016
415,MMU-018987MARIPOSA,,MEADOW,2004-06-27,2004-07-01,USFS,5060.0,LIGHTNING,2004,2004,0.12928611579539068
416,LNP-2017,SHASTA,BLUFF WFU,2004-06-28,2004-06-28,NPS,3304.0,LIGHTNING,2004,2004,0.08441923450355153
417,BEU-002411,MONTEREY,CABEU002411 (CHULAR),2004-06-30,2004-07-01,CDF,300.0,POWERLINE,2004,2004,0.007665184730952016
419,TGU-003837,TUOLUMNE,"BLACK, H",2004-07-01,2004-07-01,CDF,375.0,LIGHTNING,2004,2004,0.00958148091369002
418,MVU-5269,SAN DIEGO,WARNER,2004-07-01,2004-07-01,CDF,600.0,UNDETERMINED,2004,2004,0.015330369461904032
420,SCU-3829,SANTA CRUZ,CORRAL HOLLOW,2004-07-10,2004-07-11,CDF,700.0,ELEC. POW.,2004,2004,0.01788543103888804
421,RRU-055439,RIVERSIDE,VERBENIA,2004-07-11,2004-07-16,CDF,3833.0,UNDETERMINED,2004,2004,0.09793551024579693
422,FKU-08513,FRESNO,GATOS,2004-07-11,2004-07-13,CDF,1307.0,POWERLINE,2004,2004,0.03339465481118095
