,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
1054,MMU-7830,MARIPOSA,RIVER,2012-05-18,2012-05-22,CALFIRE,320.0,UNDETERMINED,2012,2012,0.001176855662330689
1055,MVU-005400,SAN DIEGO,BANNER 4,2012-05-24,2012-05-29,CAL FIRE,5320.0,UNDETERMINED,2012,2012,0.019565225386247706
1056,MMU-008599,MERCED,BILLY,2012-05-31,2012-05-31,CAL FIRE,434.0,ELECTRICAL,2012,2012,0.001596110492035997
1057,LAC-134232,LOS ANGELES,5 MILE,2012-06-08,2012-06-09,CAL FIRE,525.0,EQUIPMENT,2012,2012,0.0019307788210112867
1058,MMU-009308,MARIPOSA,GAINES,2012-06-12,2012-06-14,CAL FIRE,1700.0,ELECTRICAL,2012,2012,0.006252045706131786
1059,FKU-7091,FRESNO,LASSEN,2012-06-12,2012-06-13,CALFIRE,418.0,UNDETERMINED,2012,2012,0.0015372677089194626
1061,YNP-1473,MARIPOSA,CASCADE,2012-06-16,2012-11-26,NPS,1705.0,LIGHTNING,2012,2012,0.006270434075855703
1062,LPE-1439,VENTURA,OZENA,2012-06-16,2012-06-17,USFS,361.0,UI,2012,2012,0.0013276402940668086
1060,RRU-059216,RIVERSIDE,HIGHLAND,2012-06-16,2012-06-18,CAL FIRE,2171.0,UNDETERMINED,2012,2012,0.007984230134124769
1063,MVU-6329,SAN DIEGO,OLD 2,2012-06-17,2012-06-20,CAL FIRE,995.0,UNDETERMINED,2012,2012,0.0036592855750594865
1064,RRU-059775,RIVERSIDE,VIEW,2012-06-17,2012-06-18,CAL FIRE,375.0,ELECTRICAL,2012,2012,0.0013791277292937764
1065,SQF-001644,KERN,GULCH,2012-06-19,2012-06-21,USFS,385.0,HUMAN,2012,2012,0.0014159044687416104
1066,LPF-1505,VENTURA,HILL,2012-06-23,2012-06-27,USFS,689.0,UI,2012,2012,0.002533917347955765
1067,SHU-005135,SHASTA,DALE,2012-07-05,2012-07-07,CALFIRE,1083.0,UNDETERMINED,2012,2012,0.003982920882200426
1069,BDU-7678,INYO,FISH,2012-07-07,2012-07-09,CAL FIRE,1103.0,UNDETERMINED,2012,2012,0.004056474361096094
1068,MNF-1109,COLUSA,MILL,2012-07-07,2012-07-18,USFS,29502.0,UI,2012,2012,0.10849873671899997
1071,LNU-5038,COLUSA,SITES,2012-07-08,2012-07-09,CAL FIRE,365.0,UNDETERMINED,2012,2012,0.0013423509898459422
1070,LNU-5039,COLUSA,GRAPEVINE,2012-07-08,2012-07-12,CAL FIRE,1870.0,UNDETERMINED,2012,2012,0.006877250276744964
1072,BEU-3109,MONTEREY,TURKEY,2012-07-09,2012-07-10,CAL FIRE,2529.0,EQUIPMENT,2012,2012,0.009300837406357227
1073,LNU-5056,COLUSA,RAIL,2012-07-09,2012-07-12,CAL FIRE,1870.0,UNDETERMINED,2012,2012,0.006877250276744964
1074,TCU-6227,TUOLUMNE,SEVEN,2012-07-10,2012-07-11,CAL FIRE,840.0,UNDETERMINED,2012,2012,0.003089246113618059
1075,NEU-15060,PLACER,ROBBERS,2012-07-11,2012-07-21,CALFIRE,2650.0,ARSON,2012,2012,0.00974583595367602
1076,SHF-2290,TRINITY,FLAT,2012-07-11,2012-07-17,USFS,1688.0,UI,2012,2012,0.006207913618794385
1077,KNP-0072,FRESNO,WOODS CREEK,2012-07-15,2012-07-21,USFS,325.0,LIGHTNING,2012,2012,0.0011952440320546062
1078,SLU-5716,SAN LUIS OBISPO,CALF,2012-07-16,2012-07-18,CALFIRE,640.0,EQUIPMENT,2012,2012,0.002353711324661378
1079,KRN-22306,KERN,SAND,2012-07-17,2012-07-19,CALFIRE,1428.0,EQUIPMENT,2012,2012,0.0052517183931507
1080,NOD-3016,LASSEN,SPANISH,2012-07-18,2012-07-21,USFS,1169.0,,2012,2012,0.004299200841451798
1081,LNU-5495,YOLO,FOREST,2012-07-21,2012-07-24,CALFIRE,520.0,EQUIPMENT,2012,2012,0.0019123904512873698
1082,LNP-3115,SHASTA,READING,2012-07-23,2012-08-21,NPS,28079.0,LIGHTNING,2012,2012,0.10326540669557319
1083,TGU-5964,TEHAMA,PASKENTA,2012-07-25,2012-07-25,CALFIRE,300.0,VEHICLE,2012,2012,0.001103302183435021
1084,MEU-5115,MENDOCINO,NORTH,2012-07-28,2012-07-30,CALFIRE,383.0,UNDETERMINED,2012,2012,0.0014085491208520435
1085,KRN-23612,KERN,GRAPE,2012-07-28,2012-07-29,CALFIRE,370.0,UNDETERMINED,2012,2012,0.0013607393595698593
1086,PNF -1001,PLUMAS/LASSEN,CHIPS,2012-07-29,2012-08-31,USFS,75217.0,UI,2012,2012,0.27662360110477324
1087,PNF--00998,PLUMAS,PEAK,2012-07-29,2012-08-02,USFS,800.0,UI,2012,2012,0.002942139155826723
1089,RRU-7075254,RIVERSIDE,VOLCANO,2012-08-01,2012-08-05,CALFIRE,356.0,EQUIPMENT,2012,2012,0.0013092519243428917
1088,SHF-2521,SHASTA,SALT CREEK,2012-08-01,2012-08-04,USFS,980.0,UI,2012,2012,0.0036041204658877352
1090,KNF-5426,SISKIYOU,DILLON,2012-08-03,2012-08-07,USFS,318.0,HUMAN,2012,2012,0.0011695003144411222
1091,SQF-2476,KERN,PIUTE COMLEX,2012-08-04,2012-08-11,USFS,1783.0,LIGHTNING,2012,2012,0.006557292643548808
1092,RRU-76402,RIVERSIDE,RUSHMORE,2012-08-04,2012-08-04,CALFIRE,1000.0,UNDETERMINED,2012,2012,0.003677673944783403
1093,KNF-5659,SISKIYOU,FORT COMPLEX,2012-08-05,2012-09-10,USFS,23653.0,LIGHTNING,2012,2012,0.08698802181596184
1094,MDF-0429,MODOC,LAKE COMPLEX,2012-08-05,2012-08-09,USFS,1668.0,LIGHTNING,2012,2012,0.006134360139898717
1095,SNF-1940,FRESNO,BEAR,2012-08-05,2012-08-12,USFS,835.0,LIGHTNING,2012,2012,0.003070857743894142
1096,FWF-120680,MODOC,BARRYPOINT (CA LAND),2012-08-06,2012-08-28,USFS,38394.0,LIGHTNING,2012,2012,0.14120061343601398
1097,OVD-942,MONO,INDIAN,2012-08-08,2012-08-15,USFS,12574.0,LIGHTNING,2012,2012,0.046243072181706514
1098,MVU-8547,SAN DIEGO,CHIHUAHUA 2,2012-08-09,2012-08-12,CALFIRE,2006.0,LIGHTNING,2012,2012,0.007377413933235507
1099,CDD-11542,KERN,JAWBONE COMPLEX,2012-08-10,2012-08-22,NPS/BLM,1218.0,LIGHTNING,2012,2012,0.004479406864746185
1100,DVP-11569,INYO,SOUTH COMPLEX,2012-08-10,2012-10-16,USFS,453.0,LIGHTNING,2012,2012,0.0016659862969868816
1101,STF-2954,CALAVERAS,RAMSEY,2012-08-11,2012-08-31,USFS,1137.0,CAMPFIRE,2012,2012,0.00418151527521873
1102,NOD-3490,LASSEN,RUSH,2012-08-12,2012-08-31,NPS/BLM,271911.0,LIGHTNING,2012,2012,1.0
1103,LNU-6334,LAKE/ COLUSA,WALKER,2012-08-12,2012-08-14,CALFIRE,5000.0,UNDETERMINED,2012,2012,0.018388369723917018
1104,LNU-6335,LAKE/COLUSA,WYE,2012-08-12,2012-08-18,CALFIRE,2934.0,UNDETERMINED,2012,2012,0.010790295353994506
1106,BTU-8116,TEHAMA,MILL,2012-08-13,2012-08-23,CALFIRE,1641.0,ARSON,2012,2012,0.006035062943389565
1105,MVU-8747,SAN DIEGO,VALLECITO LIGHTNING COMPLEX,2012-08-13,2012-08-20,CALFIRE,22829.0,LIGHTNING,2012,2012,0.08395761848546032
1107,RRU-080142,RIVERSIDE,BUCK,2012-08-14,2012-08-18,CALFIRE,2681.0,LIGHTNING,2012,2012,0.009859843845964304
1108,NOD-3596,MODOC,NELSON (W-1),2012-08-17,2012-08-21,NPS/BLM,3661.0,LIGHTNING,2012,2012,0.013463964311852039
1109,SHF-2744,SHASTA,BAGLEY,2012-08-18,2012-09-01,USFS,46011.0,LIGHTNING,2012,2012,0.16921345587342917
1110,MNF-1446,MENDOCINO,NORTH PASS,2012-08-18,2012-09-01,USFS,41983.0,LIGHTNING,2012,2012,0.15439978522384162
1111,TGU-6696,TEHAMA/SHASTA,PONDEROSA,2012-08-18,2012-09-02,CALFIRE,27676.0,LIGHTNING,2012,2012,0.10178330409582548
1112,SHF-2735,SHASTA,BAGLEY COMPLEX,2012-08-18,2012-08-22,NPS,1000.0,LIGHTNING,2012,2012,0.003677673944783403
1113,RRU-82309,RIVERSIDE,VISTA,2012-08-20,2012-08-21,CALFIRE,500.0,EQUIPMENT,2012,2012,0.0018388369723917016
1114,MDF-521,MODOC,ANTELOPE,2012-08-21,2012-08-25,NPS,650.0,LIGHTNING,2012,2012,0.0023904880641092124
1115,ANF-4803,LOS ANGELES,WILLIAMS,2012-09-02,2012-09-11,USFS,4192.0,UI,2012,2012,0.015416809176532027
1116,LNU-7072,COLUSA,SIXTEEN COMPLEX,2012-09-04,2012-09-11,CALFIRE,19000.0,UNDETERMINED,2012,2012,0.06987580495088466
1117,NOD-3916,LASSEN,LIKELY,2012-09-05,2012-09-14,USFS,9838.0,HUMAN,2012,2012,0.036180956268779124
1118,SHF-2894,TRINITY,STAFFORD,2012-09-05,2012-09-13,USFS,4407.0,UI,2012,2012,0.01620750907466046
1119,MEU-6376,LAKE,SCOTTS,2012-09-07,2012-09-14,CALFIRE,4517.0,CAMPFIRE,2012,2012,0.016612053208586632
1120,SHF-2922,SHASTA,WARD,2012-09-11,2012-09-14,USFS,550.0,UI,2012,2012,0.002022720669630872
1121,MVU-010383,SAN DIEGO,SHOCKEY,2012-09-23,2012-09-27,CAL FIRE,2555.0,UNDETERMINED,2012,2012,0.009396456928921595
1122,RRU-96791,RIVERSIDE,RANGE,2012-09-29,2012-10-01,CAL FIRE,351.0,MISC,2012,2012,0.0012908635546189746
1123,LNU-008431,LAKE,TWENTY NINE,2012-10-18,2012-10-21,CAL FIRE,300.0,ELECTRICAL,2012,2012,0.001103302183435021
1124,BDF-16430,SAN BERNARDINO,DEVORE,2012-11-05,2012-11-06,USFS,335.0,UI,2012,2012,0.0012320207715024402
