,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
87,FKU-19,Sequoia NF,USFS #1,2001-01-01,2001-01-04,USFS,303.0,na,2001,2001,0.004475627769571639
88,MVU-53,San Diego,Viejas,2001-01-03,2001-01-08,CDF,10353.0,Smoking,2001,2001,0.15292466765140325
89,SKU-1500,Siskiyou,Jones,2001-05-09,2001-05-14,USFS,1440.0,Debris,2001,2001,0.021270310192023634
90,TGU-2166,Tehama,M-9 Fire,2001-05-09,2001-05-09,USFS,351.0,Under Invest.,2001,2001,0.005184638109305761
91,BTU-5556,Butte,Larkin,2001-05-20,2001-05-21,LOCAL,400.0,Equip. Use,2001,2001,0.005908419497784343
92,LMU-00993,Lassen-Modoc,Hilton,2001-05-20,2001-05-23,CDF,390.0,Debris,2001,2001,0.005760709010339734
93,SQF-622,Tulare,White,2001-05-23,2001-05-26,USFS,332.0,Under Invest.,2001,2001,0.004903988183161004
94,LMU-01100,Lassen,Devil,2001-05-27,2001-06-01,CDF,4400.0,Equip. Use,2001,2001,0.06499261447562776
95,TGU-2791,Tehama,Freeman,2001-05-29,2001-05-29,CDF,390.0,Vehicle,2001,2001,0.005760709010339734
96,SHU-4405,Trinity,Big,2001-06-02,2001-06-03,USFS,800.0,Under Invest.,2001,2001,0.011816838995568686
97,4269 no rept.,Imperial,Powerline,2001-06-03,2001-06-03,BLM,777.0,Under Invest.,2001,2001,0.011477104874446085
98,HUU-002020,Humboldt,Flat,2001-06-05,2001-06-05,CDF,300.0,Campfire,2001,2001,0.004431314623338257
103,MMU-9689,Merced,Merced Falls Fire,2001-06-13,2001-06-14,CDF,400.0,Weadeater,2001,2001,0.005908419497784343
102,BEU-2101,San Benito,San Benito Cattle Co.,2001-06-13,2001-06-13,CDF,580.0,Arson,2001,2001,0.008567208271787297
104,TGU-3132,Tehama,Hog,2001-06-13,2001-06-13,CDF,340.0,Equip. Use,2001,2001,0.005022156573116691
100,MMU-9668,Madera-Mariposa,165,2001-06-13,2001-06-13,LOCAL,1500.0,Undetermined,2001,2001,0.022156573116691284
99,AEU-8312,Amador,Jackson,2001-06-13,2001-06-13,CDF,2240.0,Welding,2001,2001,0.03308714918759232
101,MMU-9668,Merced,Assist SNF-562,2001-06-13,2001-06-13,LOCAL,1200.0,Under Invest.,2001,2001,0.01772525849335303
105,BDU-4825,San Bernardino,Hemlock,2001-06-14,2001-06-20,USFS,1074.0,Escape,2001,2001,0.01586410635155096
106,MMU-9893,Merced,Pacheco,2001-06-16,2001-06-17,CDF,1550.0,Vehicle,2001,2001,0.022895125553914326
107,BDU4918,San Bernardino,Shinn,2001-06-16,2001-06-18,USFS,300.0,Under Invest.,2001,2001,0.004431314623338257
108,NEU-9855,Nevada,Martis,2001-06-17,2001-07-01,DF/USF,14500.0,Campfire,2001,2001,0.21418020679468242
109,TGU-3255,Tehama,Red Bank,2001-06-17,2001-06-17,CDF,650.0,Vehicle,2001,2001,0.009601181683899557
110,RRU-41162,Riverside Palm Spgs.,Tram,2001-06-17,2001-06-18,CDF,393.0,Arson,2001,2001,0.005805022156573116
111,SQF-1152,Kern,Canyon,2001-06-18,2001-06-19,USFS,566.0,Under Invest.,2001,2001,0.008360413589364846
115,AEU-8916,Amador,Bevan,2001-06-23,2001-06-23,CDF,500.0,Equip. Use,2001,2001,0.007385524372230428
114,SQF-1225,Tulare Sequoia NF,Democrat,2001-06-23,2001-06-25,USFS,550.0,Under Invest.,2001,2001,0.00812407680945347
112,RRU-42668,Riverside,Watkins,2001-06-23,2001-06-24,CDF,1407.0,Arson,2001,2001,0.020782865583456427
113,MEU-4411,Mendocino,Ridge,2001-06-23,2001-06-25,CDF,610.0,Equip. Use,2001,2001,0.009010339734121122
116,TUU-6158,Tulare,Vander Bowen,2001-06-29,2001-06-29,CDF,596.0,Vehicle,2001,2001,0.00880354505169867
117,MMU-10898,Merced,McNamammara,2001-07-01,2001-07-01,LOCAL,700.0,Undetermined,2001,2001,0.0103397341211226
118,BDU5620,Inyo NF,McLaughlin,2001-07-02,2001-07-05,USFS,2900.0,Lightning,2001,2001,0.04283604135893648
119,TCU-4586,Calaveras,Lake,2001-07-03,2001-07-03,CDF,550.0,Misc.,2001,2001,0.00812407680945347
120,AEU-9653,Sacramento,Payen,2001-07-05,2001-07-05,CDF,300.0,Elec. Power,2001,2001,0.004431314623338257
121,AEU-9735,Amador,Sixteen,2001-07-06,2001-07-06,CDF,550.0,Undetermined,2001,2001,0.00812407680945347
122,RRU-47010,Riverside,Ballinger,2001-07-09,2001-07-09,CDF,350.0,Undetermined,2001,2001,0.0051698670605613
123,RRU-47545,Riverside,Silent,2001-07-11,2001-07-12,CDF,548.0,Equip. Use,2001,2001,0.00809453471196455
124,YNP-1655,Mariposa/Yosemite NP,Hoover Complex,2001-07-13,2001-07-13,NPS,8007.0,Lightning,2001,2001,0.11827178729689808
125,MMU-11907,Merced,Crane,2001-07-16,2001-07-16,LOCAL,900.0,Under Invest.,2001,2001,0.013293943870014771
126,RRU-50309,Riverside,Reche,2001-07-22,2001-07-23,CDF,1798.0,Vehicle,2001,2001,0.026558345642540622
127,MMU-12399,Mariposa/SNF,Briceburg,2001-07-24,2001-07-25,CDF,800.0,Under Invest.,2001,2001,0.011816838995568686
128,BTU-8762,Lassen,Stream,2001-07-26,2001-07-26,USFS,3560.0,Lightning,2001,2001,0.05258493353028065
129,BDU-6307,San Bernardino,Shelby,2001-07-27,2001-07-28,CDF,729.0,Railroad,2001,2001,0.010768094534711965
130,SHU-7073,Shasta,Powerhouse,2001-07-28,2001-08-01,CDF,490.0,Undetermined,2001,2001,0.00723781388478582
131,AEU-11228,Sacramento,Clay,2001-07-31,2001-07-31,CDF,535.0,Misc.,2001,2001,0.007902511078286559
132,SCU-3270,Stanislaus,Del Puerto,2001-08-03,2001-08-04,CDF,400.0,Campfire,2001,2001,0.005908419497784343
133,MNF-667,"Mendocino NF/Colusa,Glenn",Trough,2001-08-08,2001-08-20,USFS,24970.0,Undetermined,2001,2001,0.3688330871491876
134,LMU-2549,Modoc,Modoc Complex,2001-08-08,2001-08-08,USFS,5367.0,Lightning,2001,2001,0.07927621861152141
135,NOD-2187,Modoc,Cowhead/BLM D438,2001-08-08,2001-08-09,BLM,1670.0,Lightning,2001,2001,0.02466765140324963
136,LMU-2178,Lassen,BLM D431 Shaffer,2001-08-08,2001-08-08,BLM,1100.0,Lightning,2001,2001,0.01624815361890694
137,LMU-2228,Lassen,Observation,2001-08-09,2002-08-12,USFS,67700.0,Lightning,2001,2002,1.0
138,LMU-2248,Modoc NF,Blue Complex,2001-08-09,2002-08-10,USFS,37950.0,Lightning,2001,2002,0.5605612998522895
139,SHU-7419,Shasta,East Fire,2001-08-09,2001-08-10,CDF,624.0,Elec. Power,2001,2001,0.009217134416543574
142,NEU-14053,Nevada Desert,Buzz,2001-08-12,2001-08-12,BLM,2206.0,Lightning,2001,2001,0.03258493353028065
141,NEU-14033,Placer/Tahoe NF,GAP,2001-08-12,2001-08-17,USFS,2462.0,Under Invest.,2001,2001,0.03636632200886263
140,BDU-6857,Mono,Assist Crater,2001-08-12,2001-08-15,USFS,5800.0,Lightning,2001,2001,0.08567208271787297
143,MVU-5576,Cleveland NF/MVU,Orosco,2001-08-14,2001-08-15,DF/USF,813.0,Under Invest,2001,2001,0.012008862629246676
144,NEU-14446,Placer,Ponderosa,2001-08-17,2001-08-23,CDF,2780.0,Vehicle,2001,2001,0.04106351550960118
145,MMU-14026,Mariposa/Tuolumne,Creek,2001-08-18,2001-08-24,CDF,11095.0,Arson,2001,2001,0.1638847858197932
146,TCU- 6112,Calaveras,Leonard,2001-08-19,2001-08-25,CDF,5167.0,Equip. Use,2001,2001,0.07632200886262924
147,FKU-10044,Sequoia NF/Fresno,Highway,2001-08-19,2001-08-29,USFS,4152.0,Arson,2001,2001,0.061329394387001475
148,MMU-14176,Madera,North Fork,2001-08-20,2001-08-20,CDF,2930.0,Under Invest.,2001,2001,0.04327917282127031
149,AEU-12745,El Dorado,Star,2001-08-25,2001-09-22,USFS,16761.0,Under Invest.,2001,2001,0.24757754800590842
150,SHU-7984,Trinity,Oregon,2001-08-28,2001-08-31,CDF,1680.0,Undetermined,2001,2001,0.024815361890694238
151,SHU-8086,Trinity,Hyampon,2001-08-31,2001-09-05,USFS,1065.0,Undetermined,2001,2001,0.015731166912850814
152,TCU-6632,Calaveras,Darby,2001-09-05,2001-09-24,CDF,14280.0,Undetermined,2001,2001,0.21093057607090104
153,BTU- 10696,Butte,Poe,2001-09-06,2001-09-12,CDF,8333.0,Elec. Power,2001,2001,0.12308714918759232
154,KNF-3902,Siskiyou,Happy Camp Cmplx,2001-09-14,2001-10-10,USFS,8500.0,Lightning,2001,2001,0.1255539143279173
155,BDU-8983,Angeles NF,Stables,2001-10-12,2001-10-15,USFS,6544.0,Under Invest.,2001,2001,0.09666174298375185
156,BTU-12700,Butte,HWY 70,2001-10-24,2001-10-26,CDF,1711.0,Arson,2001,2001,0.025273264401772525
157,TCU-8044,Calaveras,Moore,2001-10-27,2001-10-31,CDF,580.0,Undetermined,2001,2001,0.008567208271787297
158,MMU-18913,Merced,Crane,2001-11-02,2001-11-02,LOCAL,330.0,Undetermined,2001,2001,0.0048744460856720824
159,MVU-8827,San Diego,Bell,2001-12-08,2001-12-11,CDF,1204.0,Undetermined,2001,2001,0.017784342688330873
