,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
1125,LNU-477,LAKE,BECKS,2013-01-22,2013-01-23,CAL FIRE,335.0,DEBRIS BURNING,2013,2013,0.0013019112834902105
1126,BDU-2372,INYO,RIVER,2013-02-24,2013-02-28,CAL FIRE,407.0,VEHICLE,2013,2013,0.0015817250518821361
1127,RRU-22083,RIVERSIDE,JURUPA,2013-02-28,2013-03-02,CAL FIRE,300.0,UNDETERMINED,2013,2013,0.0011658907016330242
1128,BTU-5648,TEHAMA,PANTHER,2013-05-01,2013-05-09,CALFIRE,6896.0,HUMAN,2013,2013,0.026799940928204452
1129,RRU-44298,RIVERSIDE,SUMMIT,2013-05-01,2013-05-04,CAL FIRE,2956.0,UNDETERMINED,2013,2013,0.011487909713424066
1130,VNC-12193,VENTURA,SPRINGS,2013-05-02,2013-05-09,CC,24251.0,UI,2013,2013,0.0942467180176749
1131,BEU-2109,SAN BENITO,TRES PINOS,2013-05-03,2013-05-04,CAL FIRE,354.0,EQUIPMENT,2013,2013,0.0013757510279269686
1132,MEU-3381,MENDOCINO,FOSTER,2013-05-03,2013-05-05,CAL FIRE,300.0,DEBRIS BURNING,2013,2013,0.0011658907016330242
1133,RRU-45459,RIVERSIDE,GORGONIO,2013-05-04,2013-05-04,CAL FIRE,650.0,UNDETERMINED,2013,2013,0.002526096520204886
1134,LPF-1281,KERN,GRAND,2013-05-15,2013-05-22,USFS,4346.0,UI,2013,2013,0.016889869964323744
1135,LAC-118144,LOS ANGELES,LAKE,2013-05-17,2013-05-20,CC,712.0,HUMAN,2013,2013,0.0027670472652090443
1136,MVU-10345,SAN DIEGO,FELIPE,2013-05-23,2013-05-29,CAL FIRE,2650.0,HUMAN,2013,2013,0.010298701197758381
1138,MMU-8520,MERCED,RIVER,2013-05-26,2013-05-27,CAL FIRE,450.0,HUMAN,2013,2013,0.0017488360524495364
1137,MVU-11025,SAN DIEGO,GENERAL,2013-05-26,2013-05-31,CAL FIRE,2500.0,HUMAN,2013,2013,0.009715755846941869
1139,LPF-1473,SANTA BARBARA,WHITE,2013-05-27,2013-06-05,USFS,1984.0,HUMAN,2013,2013,0.007710423840133067
1140,ANF-2297,LOS ANGELES,POWERHOUSE,2013-05-30,2013-06-10,USFS,30274.0,UI,2013,2013,0.11765391700412725
1141,TCU-4607,SAN JOAQUIN,SHELTON,2013-05-30,2013-05-30,CAL FIRE,303.0,EQUIPMENT,2013,2013,0.0011775496086493544
1142,LPF-1535,SAN LUIS OBISPO,BRANCH,2013-06-01,2013-06-04,USFS,486.0,UI,2013,2013,0.0018887429366454993
1143,SNF-1216,MARIPOSA,CARSTENS,2013-06-16,2013-06-26,USFS,1708.0,HUMAN,2013,2013,0.006637804394630685
