,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
883,BDU-1287,SAN BERNARDINO,FORT,2009-02-05,2009-02-07,CAL FIRE,945.0,DEBRIS,2009,2009,0.005885027120945092
884,LPF-1479,SANTA BARBARA,JESUSITA,2009-05-05,2009-05-20,USFS,8733.0,UI,2009,2009,0.05438512364784496
885,SCU-2013,STANISLAUS,MUSTANG,2009-05-13,2009-05-16,CAL FIRE,570.0,DEBRIS,2009,2009,0.003549698898347833
886,JTP-7519,RIVERSIDE,LOST HORSE,2009-05-24,2009-05-26,NPS,450.0,HUMAN,2009,2009,0.0028023938671167103
887,RRU-046619,RIVERSIDE,OLIVER,2009-05-27,2009-05-27,CAL FIRE,500.0,OTHER,2009,2009,0.0031137709634630117
888,TUU-126,TULARE,TUU LIGHTNING COMPLEX,2009-05-28,2009-05-31,CAL FIRE,485.0,LIGHTNING,2009,2009,0.003020357834559121
889,YNP-1510,MARIPOSA,GROUSE,2009-05-30,2009-07-13,USFS,3047.0,LIGHTNING,2009,2009,0.018975320251343592
890,YNP-1659,TUOLUMNE,HARDEN,2009-06-08,2009-07-11,USFS,1661.0,LIGHTNING,2009,2009,0.010343947140624124
891,SQF-2025,TULARE,SHOTGUN,2009-06-17,2009-07-11,USFS,900.0,LIGHTNING,2009,2009,0.0056047877342334206
892,SCU-2565,SAN JOAQUIN,EXPLOSIVE,2009-06-19,2009-06-19,CAL FIRE,2163.0,EQUIPMENT,2009,2009,0.013470173187940988
893,KRN-18041,KERN,PARKWAY,2009-06-22,2009-06-22,CAL FIRE/C,690.0,EQUIPMENT,2009,2009,0.004297003929578956
894,TCU-5820,CALAVERAS,ROCK,2009-06-28,2009-06-28,CAL FIRE,410.0,POWERLINE,2009,2009,0.0025532921900396693
895,LNU-4337,YOLO,RUMSEY,2009-06-29,2009-07-02,CAL FIRE,716.0,UNDETERMINED,2009,2009,0.004458920019679033
896,SQF-2139,TULARE,LION COMPLEX,2009-06-30,2009-08-21,USFS,3988.0,LIGHTNING,2009,2009,0.02483543720458098
897,SRF-1131,TRINITY/HUMBOLDT,BACKBONE,2009-07-01,2009-07-24,USFS,6324.0,LIGHTNING,2009,2009,0.03938297514588017
898,MCP-091662,SAN DIEGO,YANKEE,2009-07-11,2009-07-14,MIL,2200.0,UI,2009,2009,0.01370059223923725
899,LPF-2787,VENTURA,SULPHUR,2009-07-11,2009-07-13,USFS,350.0,UI,2009,2009,0.002179639674424108
900,ANF-2787,LOS  ANGELES,OSITO,2009-07-13,2009-07-14,USFS,304.0,UI,2009,2009,0.001893172745785511
901,NEU-14435,PLACER,MAMMOTH,2009-07-16,2009-07-18,CAL FIRE,650.0,UI,2009,2009,0.004047902252501915
902,INF-885,INYO,FORK,2009-07-18,2009-07-27,USFS,3268.0,UI,2009,2009,0.020351607017194243
903,KNF-4692,SISKIYOU,TENNANT,2009-07-19,2009-07-27,USFS,3225.0,UI,2009,2009,0.020083822714336425
904,STF-2207,TUOLUMNE,KNIGHT,2009-07-26,2009-08-11,USFS,6130.0,UI,2009,2009,0.03817483201205652
905,MMU-10699,MADERA,ASH,2009-07-27,2009-07-29,CAL FIRE,300.0,EQUIPMENT,2009,2009,0.0018682625780778069
906,YNP-2968,TUOLUMNE,WILDCAT,2009-07-29,2009-08-31,USFS/NPS,1100.0,LIGHTNING,2009,2009,0.006850296119618625
907,LNF-3923,SHASTA,HAT CREEK COMPLEX,2009-08-01,2009-08-12,USFS,11269.0,LIGHTNING,2009,2009,0.07017816997452936
908,NOD-3703,LASSEN,W-4,2009-08-01,2009-08-07,BLM,1500.0,LIGHTNING,2009,2009,0.009341312890389034
909,LPF-2536,MONTEREY,PONDEROSA,2009-08-01,2009-08-07,USFS,458.0,UI,2009,2009,0.0028522142025321187
910,LNP-3883,SHASTA,FAIRFIELD,2009-08-02,2009-08-21,USFS,1664.0,LIGHTNING,2009,2009,0.010362629766404903
911,LNF-3874,SHASTA,BROWN (H-31)(Part of HAT CR,2009-08-02,2009-08-12,USFS,1000.0,LIGHTNING,2009,2009,0.006227541926926023
914,SHU-5639,SHASTA,GOOSE (SHU COMPLEX),2009-08-03,2009-08-17,CAL FIRE,3918.0,LIGHTNING,2009,2009,0.024399509269696158
915,SHU-5641,SHASTA,GOMEZ (SHU COMPLEX),2009-08-03,2009-08-17,CAL FIRE,404.0,LIGHTNING,2009,2009,0.0025159269384781133
912,SHU-5629,SHASTA,CHALK (SHU COMPLEX),2009-08-03,2009-08-16,CAL FIRE,6895.0,LIGHTNING,2009,2009,0.04293890158615493
913,SHU-5652,SHASTA,CASSEL (SHU COMPLEX),2009-08-03,2009-08-14,CAL FIRE,6319.0,LIGHTNING,2009,2009,0.03935183743624554
916,LPF-2631,SANTA BARBARA,LA BREA,2009-08-08,2009-08-23,USFS,89489.0,HUMAN,2009,2009,0.5572964994986829
917,CZU-7246,SANTA CRUZ,LOCKHEED,2009-08-12,2009-08-23,CAL FIRE,7817.0,UI,2009,2009,0.04868069524278072
918,SHU-5969,TRINITY,COFFIN,2009-08-12,2009-08-15,CAL FIRE,1300.0,HUMAN,2009,2009,0.00809580450500383
919,SCU-3410,SAN JOAQUIN,CORRAL,2009-08-13,2009-08-16,CAL FIRE,12200.0,OTHER,2009,2009,0.07597601150849748
920,NEU-16856,YUBA,YUBA,2009-08-14,2009-08-24,CAL FIRE,3891.0,UNDETERMINED,2009,2009,0.024231365637669155
921,PNF-782,PLUMAS,ELEPHANT,2009-08-16,2009-08-21,USFS,448.0,UI,2009,2009,0.0027899387832628583
922,KNF-5754,SISKIYOU,RED ROCK,2009-08-21,2009-09-04,USFS,1364.0,HUMAN,2009,2009,0.008494367188327096
923,ANF-3616,LOS ANGELES,MORRIS,2009-08-25,2009-09-03,USFS,2168.0,UI,2009,2009,0.013501310897575619
