,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
1229,BDU-1662,INYO,ROUND,2015-02-06,2015-02-13,CAL FIRE,7000.0,UNDETERMINED,2015,2015,0.04616713823100717
1230,OVD-107,MONO,VAN DYKE,2015-02-06,2015-02-10,USFS,509.0,UNDETERMINED,2015,2015,0.0033570104799403784
1231,RRU-44605,RIVERSIDE,HIGHWAY,2015-04-18,2015-04-24,CAL FIRE,1049.0,EQUIPMENT,2015,2015,0.006918475429189503
1232,MCP-1207,SAN DIEGO,CARL,2015-04-28,2015-04-29,DOD,4000.0,UNDETERMINED,2015,2015,0.026381221846289812
1233,MCP-1210,SAN DIEGO,MORTAR,2015-04-28,2015-04-29,DOD,800.0,UNDETERMINED,2015,2015,0.005276244369257962
1234,MCP-1212,SAN DIEGO,GRENADE,2015-04-29,2015-05-05,DOD,2025.0,UNDETERMINED,2015,2015,0.013355493559684217
1235,MMU-8812,MERCED,FOREBAY,2015-05-11,2015-05-12,CAL FIRE,692.0,VEHICLE,2015,2015,0.004563951379408137
1236,SHF-1371,TRINITY,SADDLE,2015-06-09,2015-06-25,USFS,1542.0,LIGHTNING,2015,2015,0.010169961021744722
1237,FHL-001570,MONTEREY,PEANUT,2015-06-11,2015-06-11,DOD,1532.0,UNDETERMINED,2015,2015,0.010104007967128998
1238,BDF-7894,SAN BERNARDINO,LAKE,2015-06-17,2015-07-05,USFS,31359.0,UNDETERMINED,2015,2015,0.20682218396945054
1239,MMU-11662,MADERA,CORRINE,2015-06-18,2015-06-24,CAL FIRE,920.0,ELECTRICAL POWER,2015,2015,0.006067681024646656
1240,SNF-1058,MADERA,SKY,2015-06-18,2015-06-26,USFS,500.0,VEHICLE,2015,2015,0.0032976527307862265
1241,SLU-6113,SAN LUIS OBISPO,PARKHILL,2015-06-20,2015-06-20,CAL FIRE,1791.0,VEHICLE,2015,2015,0.011812192081676262
1242,LAC-173220,LOS ANGELES,CALGROVE,2015-06-24,2015-06-26,LAC,415.0,UNDETERMINED,2015,2015,0.002737051766552568
1243,AEU-17193,SACRAMENTO,IONE,2015-07-02,2015-07-05,CAL FIRE,357.0,ARSON,2015,2015,0.0023545240497813654
1244,SKU-5078,SISKIYOU,YORK,2015-07-04,2015-07-06,CAL FIRE,395.0,LIGHTNING,2015,2015,0.0026051456573211187
1245,BDF-9001,SAN BERNARDINO,NORTH,2015-07-17,2015-07-21,USFS,4250.0,UNDETERMINED,2015,2015,0.028030048211682923
1246,MMU-13970,MERCED,MCCABE,2015-07-18,2015-07-22,CAL FIRE,1600.0,LIGHTNING,2015,2015,0.010552488738515924
1247,SQF-2313,TULARE,CABIN,2015-07-19,2015-09-05,USFS,6980.0,LIGHTNING,2015,2015,0.04603523212177572
1248,TUU-383,TULARE,TRIPLE 3,2015-07-21,2015-07-21,CAL FIRE,430.0,LIGHTNING,2015,2015,0.0028359813484761546
1249,LNU-6678,NAPA,WRAGG,2015-07-22,2015-08-06,CAL FIRE,8051.0,VEHICLE,2015,2015,0.053098804271119814
1250,SNF-1689,MADERA,WILLOW,2015-07-25,2015-08-15,USFS,5702.0,UNDETERMINED,2015,2015,0.037606431741886125
1251,NEU-17851,NEVADA,LOWELL,2015-07-25,2015-08-12,CAL FIRE,2304.0,UNDETERMINED,2015,2015,0.01519558378346293
1252,LNU-6984,LAKE,ROCKY,2015-07-29,2015-08-14,CAL FIRE,69636.0,EQUIPMENT,2015,2015,0.4592706911220593
1253,BTU-10917,BUTTE,SWEDES,2015-07-29,2015-08-16,CAL FIRE,400.0,DEBRIS BURNING,2015,2015,0.002638122184628981
1259,MDF-570,MODOC,FROG,2015-07-30,2015-08-06,USFS,4863.0,LIGHTNING,2015,2015,0.032072970459626836
1258,HUU-5606,HUMBOLDT,HUMBOLDT COMPLEX,2015-07-30,2015-08-21,CAL FIRE,4883.0,LIGHTNING,2015,2015,0.03220487656885829
