,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
1353,NOD-1810,MODOC,WEST,2017-04-01,2017-04-01,BLM,401.0,HUMAN,2017,2017,0.0016813417190775681
1354,FKU-5281,FRESNO,JAYNE,2017-04-20,2017-04-21,CAL FIRE,4533.0,EQUIPMENT USE,2017,2017,0.019006289308176102
1355,FKU-5669,FRESNO,EL DORADO,2017-04-28,2017-04-28,CAL FIRE,750.0,UNDETERMINED,2017,2017,0.0031446540880503146
1356,RRU-53193,RIVERSIDE,OPERA,2017-04-30,2017-05-02,CAL FIRE,1350.0,UNDETERMINED,2017,2017,0.005660377358490566
1357,MMU-9464,MERCED,WRIGHT,2017-05-12,2017-05-13,CAL FIRE,1680.0,UNDETERMINED,2017,2017,0.007044025157232704
1358,FKU-6727,FRESNO,ELM 2,2017-05-18,2017-05-21,CAL FIRE,10000.0,ELECTRICAL POWER,2017,2017,0.041928721174004195
1359,MCP-1494,SAN DIEGO,DELUZ,2017-05-19,2017-05-22,DOD,486.0,HUMAN,2017,2017,0.002037735849056604
1360,MVU-12098,SAN DIEGO,GATE,2017-05-20,2017-05-22,CAL FIRE,2056.0,UNDETERMINED,2017,2017,0.008620545073375263
1361,KRN-18713,KERN,MING,2017-05-20,2017-05-21,CC,506.0,UNDER INVESTIGATION,2017,2017,0.002121593291404612
1362,TUU-286,TULARE,DINELY,2017-06-07,2017-06-10,CAL FIRE,339.0,EQUIPMENT USE,2017,2017,0.0014213836477987422
1363,MMU-11650,MADERA,OAKWOOD,2017-06-10,2017-06-13,CAL FIRE,1417.0,SHOOTING,2017,2017,0.005941299790356394
1364,FKU-8044,FRESNO,MONTEREY,2017-06-11,2017-06-11,CAL FIRE,450.0,SHOOTING,2017,2017,0.0018867924528301887
1365,ANF-2273,LOS ANGELES,LAKE,2017-06-17,2017-06-23,USFS,800.0,UNDER INVESTIGATION,2017,2017,0.0033542976939203353
1367,BDF-9443,SAN BERNARDINO,HOLCOMB,2017-06-21,2017-06-29,USFS,1503.0,UNDER INVESTIGATION,2017,2017,0.00630188679245283
1366,SQF-1223,KERN,HIGHWAY,2017-06-21,2017-06-25,USFS,1522.0,UNDER INVESTIGATION,2017,2017,0.006381551362683438
1368,FKU-8759,FRESNO,CREEK,2017-06-23,2017-06-27,CAL FIRE,357.0,DEBRIS BURNING,2017,2017,0.0014968553459119498
1369,SQF-1317,TULARE,SCHAEFFER,2017-06-24,2017-08-05,USFS,16031.0,LIGHTNING,2017,2017,0.06721593291404612
1370,LAC-187296,LOS ANGELES,PLACERITA,2017-06-25,2017-06-28,LOCAL,870.0,UNDER INVESTIGATION,2017,2017,0.003647798742138365
1371,RRU-78840,RIVERSIDE,MANZANITA,2017-06-26,2017-06-30,CAL FIRE,6309.0,VEHICLE,2017,2017,0.026452830188679246
1372,SLU-7101,SAN LUIS OBISPO,HILL,2017-06-26,2017-06-28,CAL FIRE,1626.0,VEHICLE,2017,2017,0.006817610062893081
1373,BDF-9802,SAN BERNARDINO,MART,2017-06-27,2017-07-01,USFS,670.0,UNDER INVESTIGATION,2017,2017,0.002809224318658281
1374,MCP-172047,SAN DIEGO,CRISTIANITOS,2017-06-28,2017-07-01,DOD,761.0,UNDER INVESTIGATION,2017,2017,0.003190775681341719
1375,MDF-415,MODOC,BATTLE,2017-06-28,2017-07-01,USFS,640.0,UNDER INVESTIGATION,2017,2017,0.002683438155136268
1376,MMU-13022,MARIPOSA,BEN,2017-06-28,2017-07-06,CAL FIRE,558.0,VEHICLE,2017,2017,0.002339622641509434
1377,KRN-24894,KERN,TARINA,2017-06-30,2017-07-01,CC,1200.0,UNDER INVESTIGATION,2017,2017,0.005031446540880503
1378,FKU-9289,FRESNO,DERRICK,2017-07-02,2017-07-05,CAL FIRE,1562.0,UNDETERMINED,2017,2017,0.006549266247379455
1379,SKU-4779,SISKIYOU,FAY,2017-07-05,2017-07-31,CAL FIRE,496.0,MISCELLANEOUS,2017,2017,0.002079664570230608
1381,KRN-26708,KERN,QUAL COMPLEX,2017-07-06,2017-07-06,CC,1626.0,UNDER INVESTIGATION,2017,2017,0.006817610062893081
1380,SLU-7624,SAN LUIS OBISPO,ALAMO,2017-07-06,2017-07-22,CAL FIRE,28687.0,UNDER INVESTIGATION,2017,2017,0.12028092243186583
