,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
1178,LNF-27,TEHAMA,CAMPBELL,2014-01-02,2014-01-10,USFS,865.0,HUMAN,2014,2014,0.0064525273020230355
1179,HUU-81,HUMBOLDT,RED,2014-01-04,2014-01-12,CAL FIRE,333.0,DEBRIS BURNING,2014,2014,0.0024840365220504864
1180,SQF-120,TULARE,SODA,2014-01-14,2014-04-19,USFS,1612.0,UNDETERMINED,2014,2014,0.012024825446082235
1181,ANF-231,LOS ANGELES,COLBY,2014-01-16,2014-01-24,USFS,1952.0,UNDETERMINED,2014,2014,0.014561078952079727
1182,RRU-27677,RIVERSIDE,PIERCE,2014-03-15,2014-03-16,LOCAL,350.0,ARSON,2014,2014,0.002610849197350361
1183,BDF-6646,SAN BERNARDINO,ETIWANDA,2014-04-30,2014-05-01,USFS,2200.0,HUMAN,2014,2014,0.01641105209763084
1184,MVU-10055,SAN DIEGO,BERNARDO,2014-05-13,2014-05-21,LOCAL,1548.0,EQUIPMENT USE,2014,2014,0.011547413021423883
1185,SBC-5573,SANTA BARBARA,MIGUELITO,2014-05-13,2014-05-16,LOCAL,632.0,UNDETERMINED,2014,2014,0.0047144476935012235
1186,MVU-10242,SAN DIEGO,SAN DIEGO COMPLEX,2014-05-14,2014-05-22,CAL FIRE,2438.0,UNDETERMINED,2014,2014,0.018186429551829086
1187,CBD-3777,SAN DIEGO,POINSETTIA,2014-05-14,2014-05-17,LOCAL,600.0,UNDETERMINED,2014,2014,0.004475741481172048
1188,MCP-1363,SAN DIEGO,BASILONE COMPLEX,2014-05-17,2014-05-19,MIL,21240.0,UNDETERMINED,2014,2014,0.15844124843349047
1189,MMU-8974,MARIPOSA,HUNTER,2014-05-26,2014-06-04,CAL FIRE,677.0,UNDETERMINED,2014,2014,0.005050128304589127
1190,TCU-4987,TUOLUMNE,59,2014-06-04,2014-06-09,CAL FIRE,402.0,VEHICLE,2014,2014,0.002998746792385272
1191,SQF-1850,KERN,SHIRLEY,2014-06-13,2014-06-21,USFS,2545.0,UNDETERMINED,2014,2014,0.01898460344930477
1192,FHL-1693,MONTEREY,STONY,2014-06-19,2014-06-22,MIL,4840.0,HUMAN,2014,2014,0.03610431461478785
1193,MMU-10597,MERCED,GUN CLUB,2014-06-19,2014-06-19,CAL FIRE,400.0,DEBRIS BURNING,2014,2014,0.0029838276541146983
1194,LNU-5333,NAPA,BUTTS,2014-07-01,2014-07-10,CAL FIRE,4300.0,EQUIPMENT USE,2014,2014,0.032076147281733004
1195,MDF-344,MODOC,MODOC JULY COMPLEX,2014-07-01,2014-07-07,USFS,2566.0,LIGHTNING,2014,2014,0.01914125440114579
1196,LNU-5465,YOLO,MONTICELLO,2014-07-04,2014-07-13,CAL FIRE,6488.0,HUMAN,2014,2014,0.04839768454974041
1197,SHU-6248,SHASTA,BULLY,2014-07-11,2014-07-23,CAL FIRE,12661.0,VEHICLE,2014,2014,0.0944456048218655
1198,SQF-2381,KERN,NICOLLS,2014-07-11,2014-07-19,USFS,1680.0,UNDETERMINED,2014,2014,0.012532076147281733
1199,YNP-57,MARIPOSA,DARK HOLE,2014-07-16,2014-08-20,NPS,1077.0,LIGHTNING,2014,2014,0.008033955958703825
1200,MMU-12965,MERCED,GUN CLUB,2014-07-24,2014-08-02,CAL FIRE,422.0,HUMAN,2014,2014,0.0031479381750910067
1201,AEU-18237,EL DORADO,SAND,2014-07-25,2014-08-03,CAL FIRE,4240.0,VEHICLE,2014,2014,0.0316285731336158
1203,MMU-13131,MERCED,KELLEY,2014-07-26,2014-07-26,CAL FIRE,1000.0,UNDETERMINED,2014,2014,0.0074595691352867454
1202,YNP-83,MARIPOSA,EL PORTAL,2014-07-26,2014-08-04,NPS,4689.0,UNDETERMINED,2014,2014,0.03497791967535955
1204,SNF-1619,MADERA,FRENCH,2014-07-28,2014-08-18,USFS,13838.0,HUMAN,2014,2014,0.10322551769409799
1205,BTU-10700,BUTTE,WEB,2014-07-29,2014-08-27,CAL FIRE,378.0,EQUIPMENT USE,2014,2014,0.00281971713313839
1206,LNF-3479,SHASTA,BALD,2014-07-30,2014-08-16,USFS,39736.0,LIGHTNING,2014,2014,0.29641343915975416
1207,KNF-5497,SISKIYOU,KNF BEAVER,2014-07-30,2014-08-30,USFS,32496.0,LIGHTNING,2014,2014,0.2424061586202781
1208,LMU-3472,MODOC,DAY,2014-07-30,2014-08-13,CAL FIRE,13153.0,LIGHTNING,2014,2014,0.09811571283642657
1209,MEU-7202,MENDOCINO,LODGE COMPLEX,2014-07-30,2014-09-21,CAL FIRE,12535.0,LIGHTNING,2014,2014,0.09350569911081937
1210,SHF-2423,TRINITY,COFFEE COMPLEX,2014-07-30,2014-08-31,USFS,6258.0,LIGHTNING,2014,2014,0.046681983648624456
1211,LNF-3502,SHASTA,EILER,2014-07-31,2014-08-24,USFS,32416.0,UNDETERMINED,2014,2014,0.24180939308945515
