,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
0,TGU-803,Mendocino NFMNF--154,Town,2000-03-31,2000-04-05,USFS,1500.0,escape control,2000,2000,0.0054895588590500866
1,MNF-177,Mendocino NF,Cabbage,2000-04-01,2000-04-01,USFS,1540.0,?,2000,2000,0.005635947095291422
2,TGU-851,Mendocino NF MNF_178,Franklin,2000-04-02,2000-04-03,USFS,400.0,na,2000,2000,0.0014638823624133564
3,LMU-630,Lassen NF,PNF 151 (Robinson),2000-04-04,2000-04-05,USFS,500.0,na,2000,2000,0.0018298529530166956
4,BDU-4016,Mono County,Assist (Azusa),2000-05-29,2000-06-01,USFS,740.0,Campfire,2000,2000,0.0027081823704647096
5,TUU-4863,Tulare,Elephant,2000-06-01,2000-06-01,CDF,497.0,Control Burn,2000,2000,0.0018188738352985954
6,ANF-2059,Los Angeles,Dry,2000-06-06,2000-06-06,USFS,356.0,Under Invest.,2000,2000,0.0013028553025478872
7,VNC-14831,Ventura,Calabasas,2000-06-11,2000-06-11,CC,800.0,Under Invest.,2000,2000,0.0029277647248267128
8,LNU-3087,Napa,Berryessa,2000-06-13,2000-06-16,CDF,5731.0,Equip. Use,2000,2000,0.020973774547477366
9,BTU-5945,Butte,Larkin,2000-06-13,2000-06-13,CDF,475.0,Under Invest.,2000,2000,0.0017383603053658608
10,TUU-5549,Tulare,Lindsay,2000-06-18,2000-06-18,CDF,400.0,Arson,2000,2000,0.0014638823624133564
11,VNC-16413,Ventura,Telegraph,2000-06-26,2000-06-26,CC,400.0,Equip. Use,2000,2000,0.0014638823624133564
12,VNC-16413,Ventura,Telegraph,2000-06-26,2000-06-26,CC,400.0,Equip. Use,2000,2000,0.0014638823624133564
13,TUU-5954,Tulare,Richgrove,2000-06-28,2000-06-28,CDF,450.0,Elec. Power,2000,2000,0.001646867657715026
14,TUU-5954,Tulare,Richgrove,2000-06-28,2000-06-28,CDF,450.0,Elec. Power,2000,2000,0.001646867657715026
15,MVU-4431,San Diego (exp002 in),Barrett,2000-06-29,2000-06-30,CDF,2000.0,Under Invest.,2000,2000,0.007319411812066782
16,MVU-4431,San Diego (exp002 in),Barrett,2000-06-29,2000-06-30,CDF,2000.0,Under Invest.,2000,2000,0.007319411812066782
17,MMU-9447,Mariposa,Granite,2000-07-02,2000-07-04,CDF,2000.0,Shooter,2000,2000,0.007319411812066782
18,MMU-9447,Mariposa,Granite,2000-07-02,2000-07-04,CDF,2000.0,Shooter,2000,2000,0.007319411812066782
19,BDU-5166,San Bernardino,Citrus,2000-07-03,2000-07-04,CDF,600.0,Under Invest.,2000,2000,0.002195823543620035
20,BDU-5166,San Bernardino,Citrus,2000-07-03,2000-07-04,CDF,600.0,Under Invest.,2000,2000,0.002195823543620035
22,BDU-5318,San Bernardino,Assist (Morgan),2000-07-07,2000-07-08,USFS,300.0,Under Invest.,2000,2000,0.0010979117718100174
21,BDU-5318,San Bernardino,Assist (Morgan),2000-07-07,2000-07-08,USFS,300.0,Under Invest.,2000,2000,0.0010979117718100174
23,TUU-6521,Tulare,Success,2000-07-09,2000-07-09,CDF,320.0,Arson,2000,2000,0.0011711058899306851
24,TUU-6521,Tulare,Success,2000-07-09,2000-07-09,CDF,320.0,Arson,2000,2000,0.0011711058899306851
25,LMU-1817,Lassen,Goat,2000-07-17,2000-07-20,CDF,1084.0,Campfire,2000,2000,0.003967121202140196
26,LMU-1817,Lassen,Goat,2000-07-17,2000-07-20,CDF,1084.0,Campfire,2000,2000,0.003967121202140196
27,SKU-2492,Siskiyou,Bark KNF Assist #12,2000-07-21,2000-07-26,USFS,1715.0,Under Invest.,2000,2000,0.006276395628847266
28,SKU-2492,Siskiyou,Bark KNF Assist #12,2000-07-21,2000-07-26,USFS,1715.0,Under Invest.,2000,2000,0.006276395628847266
31,MVU-5080,San Diego,Assist #18 Buckman,2000-07-22,2000-07-22,USFS,300.0,Under Invest.,2000,2000,0.0010979117718100174
32,MVU-5080,San Diego,Assist #18 Buckman,2000-07-22,2000-07-22,USFS,300.0,Under Invest.,2000,2000,0.0010979117718100174
29,BBD-1891,San Luis Obispo,Shell,2000-07-22,2000-07-22,USFS,6300.0,Under Invest.,2000,2000,0.023056147208010365
30,BBD-1891,San Luis Obispo,Shell,2000-07-22,2000-07-22,USFS,6300.0,Under Invest.,2000,2000,0.023056147208010365
33,BDU-5882,Inyo fire #168,Happy Camp,2000-07-23,2000-07-28,BLM,5500.0,Under Invest.,2000,2000,0.020128382483183653
34,BDU-5882,Inyo fire #168,Happy Camp,2000-07-23,2000-07-28,BLM,5500.0,Under Invest.,2000,2000,0.020128382483183653
35,SQF-1883,Tulare,Manter,2000-07-24,2000-08-09,USFS,74439.0,Under Invest.,2000,2000,0.2724248479392196
36,SQF-1883,Tulare,Manter,2000-07-24,2000-08-09,USFS,74439.0,Under Invest.,2000,2000,0.2724248479392196
37,LNU-4423,Lake-Napa,Morgan,2000-07-26,2000-07-27,CDF,3283.0,Undetermined,2000,2000,0.012014814489507622
38,SKU-2574,Siskiyou,Corp. #13,2000-07-26,2000-07-26,CDF,813.0,Railroad,2000,2000,0.002975340901605147
39,SCU-2756,Santa Clara,Patterson,2000-07-26,2000-07-27,CDF,432.0,Undetermined,2000,2000,0.001580992951406425
40,SCU-2756,Santa Clara,Patterson,2000-07-26,2000-07-27,CDF,432.0,Undetermined,2000,2000,0.001580992951406425
41,RRU-48329,Riverside,State (Pachenga),2000-07-29,2000-08-09,CDF,11900.0,Under Invest.,2000,2000,0.043550500281797355
45,LMU-2017,Nevada (State),Redrock,2000-08-01,2000-08-01,NEVADA,1000.0,Lightning,2000,2000,0.003659705906033391
44,TUU-7396,Kern County (Tulare),Chance,2000-08-01,2000-08-05,CC,1200.0,Lightning,2000,2000,0.00439164708724007
43,BDU-6114,Mono County,Golden II,2000-08-01,2000-08-08,BLM,2150.0,Lightning,2000,2000,0.00786836769797179
42,LMU-2018,Nevada (State),Arrowcreek,2000-08-01,2000-08-01,NEVADA,2900.0,na,2000,2000,0.010613147127496834
46,TUU-7440,Kern County (Tulare),King,2000-08-02,2000-08-09,CC,3243.0,Lightning,2000,2000,0.011868426253266288
47,LNU-4679,Yolo,Winters,2000-08-02,2000-08-02,CDF,380.0,Undetermined,2000,2000,0.0013906882442926887
48,NEU-11785,Placer,Drivers,2000-08-02,2000-08-04,CDF,360.0,Under Invest.,2000,2000,0.0013174941261720207
49,TUU-73431,Kern County (Tulare),Peak,2000-08-02,2000-08-04,CC,300.0,Lightning,2000,2000,0.0010979117718100174
50,BEU-2783,San Benito,Northfork (5 EXP.),2000-08-03,2000-08-07,CDF,1773.0,Equip. Use,2000,2000,0.006488658571397203
51,BDU-6121,Inyo NF,Sawmill,2000-08-03,2000-08-03,USFS,350.0,Lightning,2000,2000,0.001280897067111687
