,id,unit,name,start,end,agency,acres,cause,start_year,end_year,intensity
1353,NOD-1810,MODOC,WEST,2017-04-01,2017-04-01,BLM,401.0,HUMAN,2017,2017,0.0016813417190775681
1354,FKU-5281,FRESNO,JAYNE,2017-04-20,2017-04-21,CAL FIRE,4533.0,EQUIPMENT USE,2017,2017,0.019006289308176102
1355,FKU-5669,FRESNO,EL DORADO,2017-04-28,2017-04-28,CAL FIRE,750.0,UNDETERMINED,2017,2017,0.0031446540880503146
1356,RRU-53193,RIVERSIDE,OPERA,2017-04-30,2017-05-02,CAL FIRE,1350.0,UNDETERMINED,2017,2017,0.005660377358490566
1357,MMU-9464,MERCED,WRIGHT,2017-05-12,2017-05-13,CAL FIRE,1680.0,UNDETERMINED,2017,2017,0.007044025157232704
1358,FKU-6727,FRESNO,ELM 2,2017-05-18,2017-05-21,CAL FIRE,10000.0,ELECTRICAL POWER,2017,2017,0.041928721174004195
