,label,start_unix,end_unix,times,intensity
543,PLUNGE,1137888000,1138838400,"({'starting_time': 1137888000, 'ending_time': 1138838400},)",0.004830003784332862
544,ASSIST CNF (SIERRA),1139184000,1139184000,"({'starting_time': 1139184000, 'ending_time': 1139184000},)",0.1054036289760392
545,COMMAND),1140825600,1140998400,"({'starting_time': 1140825600, 'ending_time': 1140998400},)",0.030065528711135898
546,ALMAZAN (TORCH),1147478400,1147564800,"({'starting_time': 1147478400, 'ending_time': 1147564800},)",0.019559025633875755
547,ASSIST (GREASE),1147737600,1147737600,"({'starting_time': 1147737600, 'ending_time': 1147737600},)",0.0036449100723006753
548,STUHR,1148601600,1148601600,"({'starting_time': 1148601600, 'ending_time': 1148601600},)",0.01412153683749278
549,BILLY,1148601600,1148601600,"({'starting_time': 1148601600, 'ending_time': 1148601600},)",0.007498954329077619
550,ALPAUGH,1148688000,1148688000,"({'starting_time': 1148688000, 'ending_time': 1148688000},)",0.01692991017188838
551,HIGHWAY,1148688000,1148774400,"({'starting_time': 1148688000, 'ending_time': 1148774400},)",0.003983508275738443
552,SKINNER,1148947200,1148947200,"({'starting_time': 1148947200, 'ending_time': 1148947200},)",0.003156930308522716
553,CORT (COURT),1149292800,1149379200,"({'starting_time': 1149292800, 'ending_time': 1149379200},)",0.003605074989543291
554,RIFLE RANGE (AUBERR,1149379200,1149379200,"({'starting_time': 1149379200, 'ending_time': 1149379200},)",0.003694703925747406
556,FKU-4708,1149638400,1149638400,"({'starting_time': 1149638400, 'ending_time': 1149638400},)",0.002987631206803832
555,ABERDEEN,1149638400,1149638400,"({'starting_time': 1149638400, 'ending_time': 1149638400},)",0.00355528113609656
557,ARRASTRE,1149811200,1149897600,"({'starting_time': 1149811200, 'ending_time': 1149897600},)",0.0035951162188539447
558,PETZ,1149897600,1149897600,"({'starting_time': 1149897600, 'ending_time': 1149897600},)",0.003336188180930946
559,STOKES,1150502400,1150502400,"({'starting_time': 1150502400, 'ending_time': 1150502400},)",0.0031868066205907545
560,PERKINS,1150675200,1151280000,"({'starting_time': 1150675200, 'ending_time': 1151280000},)",0.14926205509191945
561,BAJA CALIFORNIA-MEXI,1150761600,1151193600,"({'starting_time': 1150761600, 'ending_time': 1151193600},)",0.03983508275738443
562,W,1151107200,1151107200,"({'starting_time': 1151107200, 'ending_time': 1151107200},)",0.007967016551476885
563,OBSERVATION COMPLE,1151193600,1151625600,"({'starting_time': 1151193600, 'ending_time': 1151625600},)",0.04282271396418826
568,MDF-276 MILLER COMPL,1151280000,1151884800,"({'starting_time': 1151280000, 'ending_time': 1151884800},)",0.002987631206803832
564,GOODALE,1151280000,1151539200,"({'starting_time': 1151280000, 'ending_time': 1151539200},)",0.0373453900850479
565,CHENEY,1151280000,1151366400,"({'starting_time': 1151280000, 'ending_time': 1151366400},)",0.005975262413607664
566,LGT #22 (3-9),1151280000,1151366400,"({'starting_time': 1151280000, 'ending_time': 1151366400},)",0.005019220427430438
567,LGT. #17,1151280000,1151366400,"({'starting_time': 1151280000, 'ending_time': 1151366400},)",0.004979385344673053
570,3-23,1151366400,1151366400,"({'starting_time': 1151366400, 'ending_time': 1151366400},)",0.004481446810205748
569,BOLLY),1151366400,1151366400,"({'starting_time': 1151366400, 'ending_time': 1151366400},)",0.012418587049614595
571,DEL PUERTO,1151625600,1151884800,"({'starting_time': 1151625600, 'ending_time': 1151884800},)",0.02579321608540642
572,CORRAL,1151798400,1151798400,"({'starting_time': 1151798400, 'ending_time': 1151798400},)",0.004581034517099209
573,PEDRO,1151884800,1152057600,"({'starting_time': 1151884800, 'ending_time': 1152057600},)",0.019917541378692213
574,KINGSTON,1152144000,1152662400,"({'starting_time': 1152144000, 'ending_time': 1152662400},)",0.0048598800964009
575,PICO,1152144000,1152230400,"({'starting_time': 1152144000, 'ending_time': 1152230400},)",0.004182683689525365
576,PUSHWALLA COMPLEX,1152230400,1152489600,"({'starting_time': 1152230400, 'ending_time': 1152489600},)",0.019917541378692213
577,SAWTOOTH COMPLEX,1152403200,1153353600,"({'starting_time': 1152403200, 'ending_time': 1153353600},)",0.6174437827394587
578,CANYON,1152403200,1153094400,"({'starting_time': 1152403200, 'ending_time': 1153094400},)",0.33859820343776764
579,MILLARD FIRE ASSIST,1152403200,1152403200,"({'starting_time': 1152403200, 'ending_time': 1152403200},)",0.24110183838906926
580,MDF-242 (HAPPY COMP,1152403200,1152403200,"({'starting_time': 1152403200, 'ending_time': 1152403200},)",0.01772661182703607
581,ARCO,1152403200,1152662400,"({'starting_time': 1152403200, 'ending_time': 1152662400},)",0.0069512219411635824
583,BECK,1152576000,1152662400,"({'starting_time': 1152576000, 'ending_time': 1152662400},)",0.01493815603401916
582,MIDWAY,1152576000,1152576000,"({'starting_time': 1152576000, 'ending_time': 1152576000},)",0.06373613241181508
584,EDGEMONT,1152835200,1152921600,"({'starting_time': 1152835200, 'ending_time': 1152921600},)",0.005726293146374011
585,SQUIRREL,1152835200,1152835200,"({'starting_time': 1152835200, 'ending_time': 1152835200},)",0.004979385344673053
586,29,1153094400,1153440000,"({'starting_time': 1153094400, 'ending_time': 1153440000},)",0.005477323879140359
587,SKYWAY 2,1153094400,1153094400,"({'starting_time': 1153094400, 'ending_time': 1153094400},)",0.004491405580895095
588,GEYSERS,1153094400,1153094400,"({'starting_time': 1153094400, 'ending_time': 1153094400},)",0.0031967653912801
589,CREEK,1153180800,1153440000,"({'starting_time': 1153180800, 'ending_time': 1153440000},)",0.012289123030653095
590,COYTOE,1153353600,1153440000,"({'starting_time': 1153353600, 'ending_time': 1153440000},)",0.013195371163383592
