,label,start_unix,end_unix,times,intensity
390,UPPER SANTA ANA,1080172800,1080259200,"({'starting_time': 1080172800, 'ending_time': 1080259200},)",0.00894271551944402
391,SHF ASSIST (HAMILTON),1081468800,1081728000,"({'starting_time': 1081468800, 'ending_time': 1081728000},)",0.007690735346721856
392,PLEASURE FIRE,1082851200,1082937600,"({'starting_time': 1082851200, 'ending_time': 1082937600},)",0.0629567172568859
393,EAGLE,1083456000,1083888000,"({'starting_time': 1083456000, 'ending_time': 1083888000},)",0.2256374878634575
394,ASSIST #31 (INDIA FIRE),1083456000,1083542400,"({'starting_time': 1083456000, 'ending_time': 1083542400},)",0.05212325617047371
395,GAFFORD,1083456000,1083542400,"({'starting_time': 1083456000, 'ending_time': 1083542400},)",0.011497777096428024
396,CERRITO FIRE 681,1083542400,1083888000,"({'starting_time': 1083542400, 'ending_time': 1083888000},)",0.42056313557156727
397,ASSIST #6 (CACHUMA),1083542400,1083888000,"({'starting_time': 1083542400, 'ending_time': 1083888000},)",0.02879554397260974
398,SCHOOL INC.,1083542400,1083542400,"({'starting_time': 1083542400, 'ending_time': 1083542400},)",0.0096325821452297
399,FRAZIER,1083888000,1083888000,"({'starting_time': 1083888000, 'ending_time': 1083888000},)",0.01916296182738004
400,COTTONWOOD,1084320000,1084579200,"({'starting_time': 1084320000, 'ending_time': 1084579200},)",0.0471408860953549
401,COTTONWOOD,1084838400,1084838400,"({'starting_time': 1084838400, 'ending_time': 1084838400},)",0.01430834483111043
402,STAGE,1085097600,1085097600,"({'starting_time': 1085097600, 'ending_time': 1085097600},)",0.007997342735959936
403,BASALT,1085097600,1085097600,"({'starting_time': 1085097600, 'ending_time': 1085097600},)",0.007665184730952016
404,BEALE,1086220800,1086220800,"({'starting_time': 1086220800, 'ending_time': 1086220800},)",0.007665184730952016
405,PRIDMORE,1086307200,1086307200,"({'starting_time': 1086307200, 'ending_time': 1086307200},)",0.007665184730952016
406,GAVIOTA,1086393600,1086912000,"({'starting_time': 1086393600, 'ending_time': 1086912000},)",0.19009658132761
