,label,start_unix,end_unix,times,intensity
0,Town,954460800,954892800,"({'starting_time': 954460800, 'ending_time': 954892800},)",0.0054895588590500866
1,Cabbage,954547200,954547200,"({'starting_time': 954547200, 'ending_time': 954547200},)",0.005635947095291422
2,Franklin,954633600,954720000,"({'starting_time': 954633600, 'ending_time': 954720000},)",0.0014638823624133564
3,PNF 151 (Robinson),954806400,954892800,"({'starting_time': 954806400, 'ending_time': 954892800},)",0.0018298529530166956
4,Assist (Azusa),959558400,959817600,"({'starting_time': 959558400, 'ending_time': 959817600},)",0.0027081823704647096
5,Elephant,959817600,959817600,"({'starting_time': 959817600, 'ending_time': 959817600},)",0.0018188738352985954
6,Dry,960249600,960249600,"({'starting_time': 960249600, 'ending_time': 960249600},)",0.0013028553025478872
7,Calabasas,960681600,960681600,"({'starting_time': 960681600, 'ending_time': 960681600},)",0.0029277647248267128
8,Berryessa,960854400,961113600,"({'starting_time': 960854400, 'ending_time': 961113600},)",0.020973774547477366
9,Larkin,960854400,960854400,"({'starting_time': 960854400, 'ending_time': 960854400},)",0.0017383603053658608
10,Lindsay,961286400,961286400,"({'starting_time': 961286400, 'ending_time': 961286400},)",0.0014638823624133564
11,Telegraph,961977600,961977600,"({'starting_time': 961977600, 'ending_time': 961977600},)",0.0014638823624133564
12,Telegraph,961977600,961977600,"({'starting_time': 961977600, 'ending_time': 961977600},)",0.0014638823624133564
13,Richgrove,962150400,962150400,"({'starting_time': 962150400, 'ending_time': 962150400},)",0.001646867657715026
14,Richgrove,962150400,962150400,"({'starting_time': 962150400, 'ending_time': 962150400},)",0.001646867657715026
15,Barrett,962236800,962323200,"({'starting_time': 962236800, 'ending_time': 962323200},)",0.007319411812066782
16,Barrett,962236800,962323200,"({'starting_time': 962236800, 'ending_time': 962323200},)",0.007319411812066782
17,Granite,962496000,962668800,"({'starting_time': 962496000, 'ending_time': 962668800},)",0.007319411812066782
18,Granite,962496000,962668800,"({'starting_time': 962496000, 'ending_time': 962668800},)",0.007319411812066782
19,Citrus,962582400,962668800,"({'starting_time': 962582400, 'ending_time': 962668800},)",0.002195823543620035
20,Citrus,962582400,962668800,"({'starting_time': 962582400, 'ending_time': 962668800},)",0.002195823543620035
22,Assist (Morgan),962928000,963014400,"({'starting_time': 962928000, 'ending_time': 963014400},)",0.0010979117718100174
21,Assist (Morgan),962928000,963014400,"({'starting_time': 962928000, 'ending_time': 963014400},)",0.0010979117718100174
23,Success,963100800,963100800,"({'starting_time': 963100800, 'ending_time': 963100800},)",0.0011711058899306851
24,Success,963100800,963100800,"({'starting_time': 963100800, 'ending_time': 963100800},)",0.0011711058899306851
25,Goat,963792000,964051200,"({'starting_time': 963792000, 'ending_time': 964051200},)",0.003967121202140196
26,Goat,963792000,964051200,"({'starting_time': 963792000, 'ending_time': 964051200},)",0.003967121202140196
27,Bark KNF Assist #12,964137600,964569600,"({'starting_time': 964137600, 'ending_time': 964569600},)",0.006276395628847266
28,Bark KNF Assist #12,964137600,964569600,"({'starting_time': 964137600, 'ending_time': 964569600},)",0.006276395628847266
31,Assist #18 Buckman,964224000,964224000,"({'starting_time': 964224000, 'ending_time': 964224000},)",0.0010979117718100174
32,Assist #18 Buckman,964224000,964224000,"({'starting_time': 964224000, 'ending_time': 964224000},)",0.0010979117718100174
29,Shell,964224000,964224000,"({'starting_time': 964224000, 'ending_time': 964224000},)",0.023056147208010365
30,Shell,964224000,964224000,"({'starting_time': 964224000, 'ending_time': 964224000},)",0.023056147208010365
33,Happy Camp,964310400,964742400,"({'starting_time': 964310400, 'ending_time': 964742400},)",0.020128382483183653
34,Happy Camp,964310400,964742400,"({'starting_time': 964310400, 'ending_time': 964742400},)",0.020128382483183653
35,Manter,964396800,965779200,"({'starting_time': 964396800, 'ending_time': 965779200},)",0.2724248479392196
36,Manter,964396800,965779200,"({'starting_time': 964396800, 'ending_time': 965779200},)",0.2724248479392196
37,Morgan,964569600,964656000,"({'starting_time': 964569600, 'ending_time': 964656000},)",0.012014814489507622
38,Corp. #13,964569600,964569600,"({'starting_time': 964569600, 'ending_time': 964569600},)",0.002975340901605147
39,Patterson,964569600,964656000,"({'starting_time': 964569600, 'ending_time': 964656000},)",0.001580992951406425
40,Patterson,964569600,964656000,"({'starting_time': 964569600, 'ending_time': 964656000},)",0.001580992951406425
41,State (Pachenga),964828800,965779200,"({'starting_time': 964828800, 'ending_time': 965779200},)",0.043550500281797355
45,Redrock,965088000,965088000,"({'starting_time': 965088000, 'ending_time': 965088000},)",0.003659705906033391
44,Chance,965088000,965433600,"({'starting_time': 965088000, 'ending_time': 965433600},)",0.00439164708724007
43,Golden II,965088000,965692800,"({'starting_time': 965088000, 'ending_time': 965692800},)",0.00786836769797179
42,Arrowcreek,965088000,965088000,"({'starting_time': 965088000, 'ending_time': 965088000},)",0.010613147127496834
46,King,965174400,965779200,"({'starting_time': 965174400, 'ending_time': 965779200},)",0.011868426253266288
47,Winters,965174400,965174400,"({'starting_time': 965174400, 'ending_time': 965174400},)",0.0013906882442926887
48,Drivers,965174400,965347200,"({'starting_time': 965174400, 'ending_time': 965347200},)",0.0013174941261720207
49,Peak,965174400,965347200,"({'starting_time': 965174400, 'ending_time': 965347200},)",0.0010979117718100174
50,Northfork (5 EXP.),965260800,965606400,"({'starting_time': 965260800, 'ending_time': 965606400},)",0.006488658571397203
51,Sawmill,965260800,965260800,"({'starting_time': 965260800, 'ending_time': 965260800},)",0.001280897067111687
52,Parrotts,965433600,965520000,"({'starting_time': 965433600, 'ending_time': 965520000},)",0.002561794134223374
53,Romero,965779200,968457600,"({'starting_time': 965779200, 'ending_time': 968457600},)",0.00439164708724007
54,Highway,966124800,966470400,"({'starting_time': 966124800, 'ending_time': 966470400},)",0.002561794134223374
55,Union,966211200,966297600,"({'starting_time': 966211200, 'ending_time': 966297600},)",0.001280897067111687
56,Storrie,966470400,968457600,"({'starting_time': 966470400, 'ending_time': 968457600},)",0.20223900807331122
57,"Corp. #15, Cooley",966470400,966470400,"({'starting_time': 966470400, 'ending_time': 966470400},)",0.002195823543620035
58,Blech,966816000,966816000,"({'starting_time': 966816000, 'ending_time': 966816000},)",0.0016944438344934601
59,Hunter,967334400,968025600,"({'starting_time': 967334400, 'ending_time': 968025600},)",0.029585062544373934
60,Hunter,967334400,968025600,"({'starting_time': 967334400, 'ending_time': 968025600},)",0.029585062544373934
61,FKU 9369,967593600,967680000,"({'starting_time': 967593600, 'ending_time': 967680000},)",0.0010979117718100174
62,FKU 9369,967593600,967680000,"({'starting_time': 967593600, 'ending_time': 967680000},)",0.0010979117718100174
63,Black Ranch,968457600,968630400,"({'starting_time': 968457600, 'ending_time': 968630400},)",0.0017383603053658608
64,Black Ranch,968457600,968630400,"({'starting_time': 968457600, 'ending_time': 968630400},)",0.0017383603053658608
66,TRW Fire,968544000,968544000,"({'starting_time': 968544000, 'ending_time': 968544000},)",0.0017566588348960277
65,TRW Fire,968544000,968544000,"({'starting_time': 968544000, 'ending_time': 968544000},)",0.0017566588348960277
67,Harris,968803200,969235200,"({'starting_time': 968803200, 'ending_time': 969235200},)",0.035499147288523894
68,Harris,968803200,969235200,"({'starting_time': 968803200, 'ending_time': 969235200},)",0.035499147288523894
69,Yucca,968803200,968803200,"({'starting_time': 968803200, 'ending_time': 968803200},)",0.0031766247264369833
70,Yucca,968803200,968803200,"({'starting_time': 968803200, 'ending_time': 968803200},)",0.0031766247264369833
71,Paradise,968803200,968803200,"({'starting_time': 968803200, 'ending_time': 968803200},)",0.001562694421876258
72,Paradise,968803200,968803200,"({'starting_time': 968803200, 'ending_time': 968803200},)",0.001562694421876258
73,Lyons,968803200,968889600,"({'starting_time': 968803200, 'ending_time': 968889600},)",0.0014638823624133564
74,Lyons,968803200,968889600,"({'starting_time': 968803200, 'ending_time': 968889600},)",0.0014638823624133564
76,Concow,969321600,969580800,"({'starting_time': 969321600, 'ending_time': 969580800},)",0.006715560337571273
75,Concow,969321600,969580800,"({'starting_time': 969321600, 'ending_time': 969580800},)",0.006715560337571273
77,Sixteen,969494400,1026172800,"({'starting_time': 969494400, 'ending_time': 1026172800},)",0.0014638823624133564
78,Sixteen,969494400,1026172800,"({'starting_time': 969494400, 'ending_time': 1026172800},)",0.0014638823624133564
79,Weinstein,970185600,970444800,"({'starting_time': 970185600, 'ending_time': 970444800},)",0.03031700372558061
80,Weinstein,970185600,970444800,"({'starting_time': 970185600, 'ending_time': 970444800},)",0.03031700372558061
81,Worsham,970790400,970790400,"({'starting_time': 970790400, 'ending_time': 970790400},)",0.0018298529530166956
82,Worsham,970790400,970790400,"({'starting_time': 970790400, 'ending_time': 970790400},)",0.0018298529530166956
85,Latrobe,972086400,972086400,"({'starting_time': 972086400, 'ending_time': 972086400},)",0.0027447794295250433
83,Hidden,972086400,972604800,"({'starting_time': 972086400, 'ending_time': 972604800},)",0.01646867657715026
