,label,start_unix,end_unix,times,intensity
1353,WEST,1491004800,1491004800,"({'starting_time': 1491004800, 'ending_time': 1491004800},)",0.0016813417190775681
1354,JAYNE,1492646400,1492732800,"({'starting_time': 1492646400, 'ending_time': 1492732800},)",0.019006289308176102
1355,EL DORADO,1493337600,1493337600,"({'starting_time': 1493337600, 'ending_time': 1493337600},)",0.0031446540880503146
1356,OPERA,1493510400,1493683200,"({'starting_time': 1493510400, 'ending_time': 1493683200},)",0.005660377358490566
1357,WRIGHT,1494547200,1494633600,"({'starting_time': 1494547200, 'ending_time': 1494633600},)",0.007044025157232704
1358,ELM 2,1495065600,1495324800,"({'starting_time': 1495065600, 'ending_time': 1495324800},)",0.041928721174004195
1359,DELUZ,1495152000,1495411200,"({'starting_time': 1495152000, 'ending_time': 1495411200},)",0.002037735849056604
1360,GATE,1495238400,1495411200,"({'starting_time': 1495238400, 'ending_time': 1495411200},)",0.008620545073375263
1361,MING,1495238400,1495324800,"({'starting_time': 1495238400, 'ending_time': 1495324800},)",0.002121593291404612
1362,DINELY,1496793600,1497052800,"({'starting_time': 1496793600, 'ending_time': 1497052800},)",0.0014213836477987422
1363,OAKWOOD,1497052800,1497312000,"({'starting_time': 1497052800, 'ending_time': 1497312000},)",0.005941299790356394
1364,MONTEREY,1497139200,1497139200,"({'starting_time': 1497139200, 'ending_time': 1497139200},)",0.0018867924528301887
1365,LAKE,1497657600,1498176000,"({'starting_time': 1497657600, 'ending_time': 1498176000},)",0.0033542976939203353
1367,HOLCOMB,1498003200,1498694400,"({'starting_time': 1498003200, 'ending_time': 1498694400},)",0.00630188679245283
1366,HIGHWAY,1498003200,1498348800,"({'starting_time': 1498003200, 'ending_time': 1498348800},)",0.006381551362683438
1368,CREEK,1498176000,1498521600,"({'starting_time': 1498176000, 'ending_time': 1498521600},)",0.0014968553459119498
1369,SCHAEFFER,1498262400,1501891200,"({'starting_time': 1498262400, 'ending_time': 1501891200},)",0.06721593291404612
1370,PLACERITA,1498348800,1498608000,"({'starting_time': 1498348800, 'ending_time': 1498608000},)",0.003647798742138365
1371,MANZANITA,1498435200,1498780800,"({'starting_time': 1498435200, 'ending_time': 1498780800},)",0.026452830188679246
1372,HILL,1498435200,1498608000,"({'starting_time': 1498435200, 'ending_time': 1498608000},)",0.006817610062893081
1373,MART,1498521600,1498867200,"({'starting_time': 1498521600, 'ending_time': 1498867200},)",0.002809224318658281
1374,CRISTIANITOS,1498608000,1498867200,"({'starting_time': 1498608000, 'ending_time': 1498867200},)",0.003190775681341719
