,label,start_unix,end_unix,times,intensity
883,FORT,1233792000,1233964800,"({'starting_time': 1233792000, 'ending_time': 1233964800},)",0.005885027120945092
884,JESUSITA,1241481600,1242777600,"({'starting_time': 1241481600, 'ending_time': 1242777600},)",0.05438512364784496
885,MUSTANG,1242172800,1242432000,"({'starting_time': 1242172800, 'ending_time': 1242432000},)",0.003549698898347833
886,LOST HORSE,1243123200,1243296000,"({'starting_time': 1243123200, 'ending_time': 1243296000},)",0.0028023938671167103
887,OLIVER,1243382400,1243382400,"({'starting_time': 1243382400, 'ending_time': 1243382400},)",0.0031137709634630117
888,TUU LIGHTNING COMPLEX,1243468800,1243728000,"({'starting_time': 1243468800, 'ending_time': 1243728000},)",0.003020357834559121
889,GROUSE,1243641600,1247443200,"({'starting_time': 1243641600, 'ending_time': 1247443200},)",0.018975320251343592
890,HARDEN,1244419200,1247270400,"({'starting_time': 1244419200, 'ending_time': 1247270400},)",0.010343947140624124
891,SHOTGUN,1245196800,1247270400,"({'starting_time': 1245196800, 'ending_time': 1247270400},)",0.0056047877342334206
892,EXPLOSIVE,1245369600,1245369600,"({'starting_time': 1245369600, 'ending_time': 1245369600},)",0.013470173187940988
893,PARKWAY,1245628800,1245628800,"({'starting_time': 1245628800, 'ending_time': 1245628800},)",0.004297003929578956
894,ROCK,1246147200,1246147200,"({'starting_time': 1246147200, 'ending_time': 1246147200},)",0.0025532921900396693
895,RUMSEY,1246233600,1246492800,"({'starting_time': 1246233600, 'ending_time': 1246492800},)",0.004458920019679033
896,LION COMPLEX,1246320000,1250812800,"({'starting_time': 1246320000, 'ending_time': 1250812800},)",0.02483543720458098
897,BACKBONE,1246406400,1248393600,"({'starting_time': 1246406400, 'ending_time': 1248393600},)",0.03938297514588017
898,YANKEE,1247270400,1247529600,"({'starting_time': 1247270400, 'ending_time': 1247529600},)",0.01370059223923725
899,SULPHUR,1247270400,1247443200,"({'starting_time': 1247270400, 'ending_time': 1247443200},)",0.002179639674424108
900,OSITO,1247443200,1247529600,"({'starting_time': 1247443200, 'ending_time': 1247529600},)",0.001893172745785511
901,MAMMOTH,1247702400,1247875200,"({'starting_time': 1247702400, 'ending_time': 1247875200},)",0.004047902252501915
902,FORK,1247875200,1248652800,"({'starting_time': 1247875200, 'ending_time': 1248652800},)",0.020351607017194243
903,TENNANT,1247961600,1248652800,"({'starting_time': 1247961600, 'ending_time': 1248652800},)",0.020083822714336425
904,KNIGHT,1248566400,1249948800,"({'starting_time': 1248566400, 'ending_time': 1249948800},)",0.03817483201205652
905,ASH,1248652800,1248825600,"({'starting_time': 1248652800, 'ending_time': 1248825600},)",0.0018682625780778069
906,WILDCAT,1248825600,1251676800,"({'starting_time': 1248825600, 'ending_time': 1251676800},)",0.006850296119618625
907,HAT CREEK COMPLEX,1249084800,1250035200,"({'starting_time': 1249084800, 'ending_time': 1250035200},)",0.07017816997452936
908,W-4,1249084800,1249603200,"({'starting_time': 1249084800, 'ending_time': 1249603200},)",0.009341312890389034
909,PONDEROSA,1249084800,1249603200,"({'starting_time': 1249084800, 'ending_time': 1249603200},)",0.0028522142025321187
910,FAIRFIELD,1249171200,1250812800,"({'starting_time': 1249171200, 'ending_time': 1250812800},)",0.010362629766404903
911,BROWN (H-31)(Part of HAT CR,1249171200,1250035200,"({'starting_time': 1249171200, 'ending_time': 1250035200},)",0.006227541926926023
914,GOOSE (SHU COMPLEX),1249257600,1250467200,"({'starting_time': 1249257600, 'ending_time': 1250467200},)",0.024399509269696158
