,label,start_unix,end_unix,times,intensity
0,Town,954460800,954892800,"({'starting_time': 954460800, 'ending_time': 954892800},)",0.02015072744126063
1,Cabbage,954547200,954547200,"({'starting_time': 954547200, 'ending_time': 954547200},)",0.02068808017302758
2,Franklin,954633600,954720000,"({'starting_time': 954633600, 'ending_time': 954720000},)",0.005373527317669501
3,PNF 151 (Robinson),954806400,954892800,"({'starting_time': 954806400, 'ending_time': 954892800},)",0.006716909147086877
4,Assist (Azusa),959558400,959817600,"({'starting_time': 959558400, 'ending_time': 959817600},)",0.009941025537688577
5,Elephant,959817600,959817600,"({'starting_time': 959817600, 'ending_time': 959817600},)",0.006676607692204356
6,Dry,960249600,960249600,"({'starting_time': 960249600, 'ending_time': 960249600},)",0.004782439312725856
7,Calabasas,960681600,960681600,"({'starting_time': 960681600, 'ending_time': 960681600},)",0.010747054635339003
8,Berryessa,960854400,961113600,"({'starting_time': 960854400, 'ending_time': 961113600},)",0.07698921264390977
9,Larkin,960854400,960854400,"({'starting_time': 960854400, 'ending_time': 960854400},)",0.0063810636897325326
10,Lindsay,961286400,961286400,"({'starting_time': 961286400, 'ending_time': 961286400},)",0.005373527317669501
11,Telegraph,961977600,961977600,"({'starting_time': 961977600, 'ending_time': 961977600},)",0.005373527317669501
12,Telegraph,961977600,961977600,"({'starting_time': 961977600, 'ending_time': 961977600},)",0.005373527317669501
13,Richgrove,962150400,962150400,"({'starting_time': 962150400, 'ending_time': 962150400},)",0.0060452182323781885
14,Richgrove,962150400,962150400,"({'starting_time': 962150400, 'ending_time': 962150400},)",0.0060452182323781885
15,Barrett,962236800,962323200,"({'starting_time': 962236800, 'ending_time': 962323200},)",0.026867636588347506
16,Barrett,962236800,962323200,"({'starting_time': 962236800, 'ending_time': 962323200},)",0.026867636588347506
17,Granite,962496000,962668800,"({'starting_time': 962496000, 'ending_time': 962668800},)",0.026867636588347506
18,Granite,962496000,962668800,"({'starting_time': 962496000, 'ending_time': 962668800},)",0.026867636588347506
19,Citrus,962582400,962668800,"({'starting_time': 962582400, 'ending_time': 962668800},)",0.008060290976504252
20,Citrus,962582400,962668800,"({'starting_time': 962582400, 'ending_time': 962668800},)",0.008060290976504252
22,Assist (Morgan),962928000,963014400,"({'starting_time': 962928000, 'ending_time': 963014400},)",0.004030145488252126
21,Assist (Morgan),962928000,963014400,"({'starting_time': 962928000, 'ending_time': 963014400},)",0.004030145488252126
23,Success,963100800,963100800,"({'starting_time': 963100800, 'ending_time': 963100800},)",0.004298821854135601
24,Success,963100800,963100800,"({'starting_time': 963100800, 'ending_time': 963100800},)",0.004298821854135601
25,Goat,963792000,964051200,"({'starting_time': 963792000, 'ending_time': 964051200},)",0.014562259030884348
26,Goat,963792000,964051200,"({'starting_time': 963792000, 'ending_time': 964051200},)",0.014562259030884348
27,Bark KNF Assist #12,964137600,964569600,"({'starting_time': 964137600, 'ending_time': 964569600},)",0.023038998374507985
28,Bark KNF Assist #12,964137600,964569600,"({'starting_time': 964137600, 'ending_time': 964569600},)",0.023038998374507985
29,Shell,964224000,964224000,"({'starting_time': 964224000, 'ending_time': 964224000},)",0.08463305525329465
30,Shell,964224000,964224000,"({'starting_time': 964224000, 'ending_time': 964224000},)",0.08463305525329465
31,Assist #18 Buckman,964224000,964224000,"({'starting_time': 964224000, 'ending_time': 964224000},)",0.004030145488252126
32,Assist #18 Buckman,964224000,964224000,"({'starting_time': 964224000, 'ending_time': 964224000},)",0.004030145488252126
34,Happy Camp,964310400,964742400,"({'starting_time': 964310400, 'ending_time': 964742400},)",0.07388600061795564
33,Happy Camp,964310400,964742400,"({'starting_time': 964310400, 'ending_time': 964742400},)",0.07388600061795564
35,Manter,964396800,965779200,"({'starting_time': 964396800, 'ending_time': 965779200},)",1.0
36,Manter,964396800,965779200,"({'starting_time': 964396800, 'ending_time': 965779200},)",1.0
37,Morgan,964569600,964656000,"({'starting_time': 964569600, 'ending_time': 964656000},)",0.04410322545977243
