,label,start_unix,end_unix,times,intensity
290,Assist (Pacific),1041811200,1041897600,"({'starting_time': 1041811200, 'ending_time': 1041897600},)",0.004757617677843409
291,Local,1045958400,1045958400,"({'starting_time': 1045958400, 'ending_time': 1045958400},)",0.04391647087240069
292,Lundy,1051142400,1051315200,"({'starting_time': 1051142400, 'ending_time': 1051315200},)",0.002195823543620035
293,Delima,1051920000,1051920000,"({'starting_time': 1051920000, 'ending_time': 1051920000},)",0.010979117718100173
294,New Idria/Griswold,1053216000,1053216000,"({'starting_time': 1053216000, 'ending_time': 1053216000},)",0.0022982953089889695
295,FKU-6009,1054080000,1054080000,"({'starting_time': 1054080000, 'ending_time': 1054080000},)",0.003659705906033391
296,Del Puerto Cyn.,1054166400,1054425600,"({'starting_time': 1054166400, 'ending_time': 1054425600},)",0.0021848444259019344
297,Bird,1054425600,1054425600,"({'starting_time': 1054425600, 'ending_time': 1054425600},)",0.024900638984651193
298,Fish (McNamera),1054512000,1054512000,"({'starting_time': 1054512000, 'ending_time': 1054512000},)",0.0023788088389217043
299,SNF Assist (165),1054771200,1055203200,"({'starting_time': 1054771200, 'ending_time': 1055203200},)",0.0010979117718100174
300,Shallock,1054857600,1054857600,"({'starting_time': 1054857600, 'ending_time': 1054857600},)",0.0020640741310028327
301,Gyle,1055203200,1055203200,"({'starting_time': 1055203200, 'ending_time': 1055203200},)",0.0010979117718100174
302,152,1055635200,1055721600,"({'starting_time': 1055635200, 'ending_time': 1055721600},)",0.0057018218016000235
303,Caliente,1055721600,1055808000,"({'starting_time': 1055721600, 'ending_time': 1055808000},)",0.004475820323078837
304,Sycamore,1055808000,1055894400,"({'starting_time': 1055808000, 'ending_time': 1055894400},)",0.00147852118603749
305,Assist ABC Misc.,1055894400,1056240000,"({'starting_time': 1055894400, 'ending_time': 1056240000},)",0.004292835027777168
306,FKU-7076,1055980800,1055980800,"({'starting_time': 1055980800, 'ending_time': 1055980800},)",0.054895588590500866
307,26 Fire,1056326400,1056326400,"({'starting_time': 1056326400, 'ending_time': 1056326400},)",0.002561794134223374
308,Nature,1056326400,1056326400,"({'starting_time': 1056326400, 'ending_time': 1056326400},)",0.0022324206026803684
309,Hwy 70,1056412800,1056412800,"({'starting_time': 1056412800, 'ending_time': 1056412800},)",0.001346771773420288
310,Sawmill,1056585600,1057017600,"({'starting_time': 1056585600, 'ending_time': 1057017600},)",0.0019616023656338975
311,Kern #8 (Martinez #2),1056585600,1056672000,"({'starting_time': 1056585600, 'ending_time': 1056672000},)",0.0012040432430849856
312,Chimney,1056758400,1056844800,"({'starting_time': 1056758400, 'ending_time': 1056844800},)",0.002067733836908866
313,Tejon,1056844800,1120003200,"({'starting_time': 1056844800, 'ending_time': 1120003200},)",0.004226960321468567
314,Capay,1056844800,1056844800,"({'starting_time': 1056844800, 'ending_time': 1056844800},)",0.0014638823624133564
315,Friday,1056844800,1056931200,"({'starting_time': 1056844800, 'ending_time': 1056931200},)",0.0014236255974469892
316,I-5,1056931200,1056931200,"({'starting_time': 1056931200, 'ending_time': 1056931200},)",0.003659705906033391
317,Forty,1057017600,1057017600,"({'starting_time': 1057017600, 'ending_time': 1057017600},)",0.0010979117718100174
318,A-3,1057104000,1057104000,"({'starting_time': 1057104000, 'ending_time': 1057104000},)",0.004025676496636731
319,Dain,1057104000,1057104000,"({'starting_time': 1057104000, 'ending_time': 1057104000},)",0.0018298529530166956
320,Hwy 25,1057104000,1057104000,"({'starting_time': 1057104000, 'ending_time': 1057104000},)",0.0013174941261720207
321,State Fire,1057190400,1057190400,"({'starting_time': 1057190400, 'ending_time': 1057190400},)",0.0031290485496585493
322,Hunter #9,1057190400,1057276800,"({'starting_time': 1057190400, 'ending_time': 1057276800},)",0.0023458714857674035
323,Stage,1057276800,1057276800,"({'starting_time': 1057276800, 'ending_time': 1057276800},)",0.0062215000402567645
324,Kern #10 (Pump),1057536000,1057536000,"({'starting_time': 1057536000, 'ending_time': 1057536000},)",0.0027338003118069433
325,Frazier,1057622400,1057536000,"({'starting_time': 1057622400, 'ending_time': 1057536000},)",0.0025581344283173405
326,YNP #1734 (Woodlot),1057622400,1057881600,"({'starting_time': 1057622400, 'ending_time': 1057881600},)",0.001676145304963293
327,North Fork,1057622400,1057795200,"({'starting_time': 1057622400, 'ending_time': 1057795200},)",0.0013174941261720207
328,CoopersTown #2,1057968000,1057968000,"({'starting_time': 1057968000, 'ending_time': 1057968000},)",0.0014492435387892229
329,Castle,1057968000,1057968000,"({'starting_time': 1057968000, 'ending_time': 1057968000},)",0.0011711058899306851
330,Greig,1058054400,1058054400,"({'starting_time': 1058054400, 'ending_time': 1058054400},)",0.0015370764805340243
331,Kern #14 (Hillside),1058227200,1058313600,"({'starting_time': 1058227200, 'ending_time': 1058313600},)",0.0030558544315378816
332,Coyote,1058313600,1059177600,"({'starting_time': 1058313600, 'ending_time': 1059177600},)",0.06845479897235458
333,Grant,1058486400,1058486400,"({'starting_time': 1058486400, 'ending_time': 1058486400},)",0.0018298529530166956
338,Parkhill,1058659200,1058832000,"({'starting_time': 1058659200, 'ending_time': 1058832000},)",0.00439164708724007
337,Grapevine Kern #15,1058659200,1058659200,"({'starting_time': 1058659200, 'ending_time': 1058659200},)",0.006697261808041106
339,BLM U575 (Ram),1058659200,1058745600,"({'starting_time': 1058659200, 'ending_time': 1058745600},)",0.0013723897147625216
335,Del Puerto,1058659200,1058832000,"({'starting_time': 1058659200, 'ending_time': 1058832000},)",0.018920679534192634
334,TNF (Chilcoot Comple,1058659200,1058918400,"({'starting_time': 1058659200, 'ending_time': 1058918400},)",0.020834705723048096
336,STF #8 (Mountain Co,1058659200,1065139200,"({'starting_time': 1058659200, 'ending_time': 1065139200},)",0.013712918029907116
340,BLM-U580/Smoke,1058745600,1059091200,"({'starting_time': 1058745600, 'ending_time': 1059091200},)",0.029314244307327462
341,Local,1058832000,1058832000,"({'starting_time': 1058832000, 'ending_time': 1058832000},)",0.0073926059301874505
342,Shinn BLM 590,1058832000,1058832000,"({'starting_time': 1058832000, 'ending_time': 1058832000},)",0.0034767206107317217
343,Basin,1058918400,1059091200,"({'starting_time': 1058918400, 'ending_time': 1059091200},)",0.003667025317845458
344,Canyon,1059091200,1059264000,"({'starting_time': 1059091200, 'ending_time': 1059264000},)",0.015868484808560783
345,River,1059091200,1059091200,"({'starting_time': 1059091200, 'ending_time': 1059091200},)",0.0010979117718100174
346,Little Kern (China),1059523200,1059868800,"({'starting_time': 1059523200, 'ending_time': 1059868800},)",0.0018627903061709961
347,TIA 2415 ( Cooney),1059609600,1061942400,"({'starting_time': 1059609600, 'ending_time': 1061942400},)",0.007055912986832378
348,BLM U 643 (Barber),1059609600,1059696000,"({'starting_time': 1059609600, 'ending_time': 1059696000},)",0.00486740885502441
