,label,start_unix,end_unix,times,intensity
948,PEDLEY,1273622400,1273708800,"({'starting_time': 1273622400, 'ending_time': 1273708800},)",0.05169687385962778
949,COTTON,1273881600,1274054400,"({'starting_time': 1273881600, 'ending_time': 1274054400},)",0.12431577666950493
950,METZEN,1273881600,1273881600,"({'starting_time': 1273881600, 'ending_time': 1273881600},)",0.021895146575842354
951,MCKINLEY,1274313600,1274486400,"({'starting_time': 1274313600, 'ending_time': 1274486400},)",0.060819851599562096
952,BALE,1275609600,1275609600,"({'starting_time': 1275609600, 'ending_time': 1275609600},)",0.029497628025787617
953,CHILDS,1275696000,1275696000,"({'starting_time': 1275696000, 'ending_time': 1275696000},)",0.02809877143899769
954,WHITES,1275868800,1275868800,"({'starting_time': 1275868800, 'ending_time': 1275868800},)",0.021286948059846735
955,STUHR,1275955200,1276128000,"({'starting_time': 1275955200, 'ending_time': 1276128000},)",0.03564043303734339
956,ROBINSON,1276214400,1276300800,"({'starting_time': 1276214400, 'ending_time': 1276300800},)",0.09731176255929935
957,DIABLO,1276819200,1276905600,"({'starting_time': 1276819200, 'ending_time': 1276905600},)",0.028889429509791995
958,PALERMO,1278201600,1278288000,"({'starting_time': 1278201600, 'ending_time': 1278288000},)",0.05473786643960589
959,166,1278892800,1278892800,"({'starting_time': 1278892800, 'ending_time': 1278892800},)",0.021286948059846735
960,ALISO,1278979200,1279152000,"({'starting_time': 1278979200, 'ending_time': 1279152000},)",0.19614402140858778
961,CACTUS,1279152000,1279411200,"({'starting_time': 1279152000, 'ending_time': 1279411200},)",0.04379029315168471
962,BODFISH,1279152000,1279411200,"({'starting_time': 1279152000, 'ending_time': 1279411200},)",0.033572558082958275
963,SKINNER,1279152000,1279411200,"({'starting_time': 1279152000, 'ending_time': 1279411200},)",0.030592385354579733
964,SHEEP,1279238400,1279238400,"({'starting_time': 1279238400, 'ending_time': 1279238400},)",0.5453716092932733
965,SAND 2,1279238400,1279756800,"({'starting_time': 1279238400, 'ending_time': 1279756800},)",0.07626809390585088
966,INDIAN,1279411200,1279929600,"({'starting_time': 1279411200, 'ending_time': 1279929600},)",0.11081376961440215
967,PATATO,1279929600,1280188800,"({'starting_time': 1279929600, 'ending_time': 1280188800},)",0.0417224181972996
968,SLOPE,1280016000,1280016000,"({'starting_time': 1280016000, 'ending_time': 1280016000},)",0.10406276608685075
970,MONO,1280102400,1280361600,"({'starting_time': 1280102400, 'ending_time': 1280361600},)",0.07328792117747232
969,BULL,1280102400,1281398400,"({'starting_time': 1280102400, 'ending_time': 1281398400},)",1.0
971,MCDONALD,1280188800,1281398400,"({'starting_time': 1280188800, 'ending_time': 1281398400},)",0.5721931638486802
972,WEST,1280188800,1281052800,"({'starting_time': 1280188800, 'ending_time': 1281052800},)",0.10035275513927747
973,CROWN,1280361600,1280793600,"({'starting_time': 1280361600, 'ending_time': 1280793600},)",0.8514779223938693
974,BRIGGS,1280361600,1280448000,"({'starting_time': 1280361600, 'ending_time': 1280448000},)",0.03101812431577667
975,BAR,1280534400,1281398400,"({'starting_time': 1280534400, 'ending_time': 1281398400},)",0.06325264566354458
976,DUTCH,1280534400,1280880000,"({'starting_time': 1280534400, 'ending_time': 1280880000},)",0.022564164943437538
977,BUCKHORN,1281139200,1281139200,"({'starting_time': 1281139200, 'ending_time': 1281139200},)",0.028342050845395938
978,VERNON,1281225600,1281225600,"({'starting_time': 1281225600, 'ending_time': 1281225600},)",0.05528524510400195
979,PINECREST,1281312000,1287100800,"({'starting_time': 1281312000, 'ending_time': 1287100800},)",0.04859506142805012
980,STOKES 2,1282003200,1282089600,"({'starting_time': 1282003200, 'ending_time': 1282089600},)",0.05346064955601508
981,BASELINE,1282262400,1282348800,"({'starting_time': 1282262400, 'ending_time': 1282348800},)",0.02639581559420995
982,POZO,1282348800,1282435200,"({'starting_time': 1282348800, 'ending_time': 1282435200},)",0.07298382191947451
983,MONTE,1282348800,1282521600,"({'starting_time': 1282348800, 'ending_time': 1282521600},)",0.05650164213599319
984,INDIAN,1282608000,1282780800,"({'starting_time': 1282608000, 'ending_time': 1282780800},)",0.027368933219802945
985,CURRY,1282608000,1283212800,"({'starting_time': 1282608000, 'ending_time': 1283212800},)",0.022807444349835785
986,POST,1282694400,1282953600,"({'starting_time': 1282694400, 'ending_time': 1282953600},)",0.07979564529862547
987,BULLARDS,1282867200,1284336000,"({'starting_time': 1282867200, 'ending_time': 1284336000},)",0.09122977739934314
988,BULLARD,1282867200,1283212800,"({'starting_time': 1282867200, 'ending_time': 1283212800},)",0.07949154604062766
989,COWBOY,1283385600,1283817600,"({'starting_time': 1283385600, 'ending_time': 1283817600},)",0.05029801727283786
990,CANYON,1284249600,1284854400,"({'starting_time': 1284249600, 'ending_time': 1284854400},)",0.5972509427076997
