,label,start_unix,end_unix,times,intensity
1353,WEST,1491004800,1491004800,"({'starting_time': 1491004800, 'ending_time': 1491004800},)",0.0016813417190775681
1354,JAYNE,1492646400,1492732800,"({'starting_time': 1492646400, 'ending_time': 1492732800},)",0.019006289308176102
1355,EL DORADO,1493337600,1493337600,"({'starting_time': 1493337600, 'ending_time': 1493337600},)",0.0031446540880503146
1356,OPERA,1493510400,1493683200,"({'starting_time': 1493510400, 'ending_time': 1493683200},)",0.005660377358490566
1357,WRIGHT,1494547200,1494633600,"({'starting_time': 1494547200, 'ending_time': 1494633600},)",0.007044025157232704
1358,ELM 2,1495065600,1495324800,"({'starting_time': 1495065600, 'ending_time': 1495324800},)",0.041928721174004195
1359,DELUZ,1495152000,1495411200,"({'starting_time': 1495152000, 'ending_time': 1495411200},)",0.002037735849056604
