,label,start_unix,end_unix,times,intensity
991,WINTERTON,1299628800,1299628800,"({'starting_time': 1299628800, 'ending_time': 1299628800},)",0.013463767127956916
992,CENTER,1300406400,1300579200,"({'starting_time': 1300406400, 'ending_time': 1300579200},)",0.028972663439907287
993,METZ,1305158400,1305331200,"({'starting_time': 1305158400, 'ending_time': 1305331200},)",0.02835912468470925
994,COVE,1306454400,1306800000,"({'starting_time': 1306454400, 'ending_time': 1306800000},)",0.03824391574067762
995,CATTLEMAN,1306627200,1306627200,"({'starting_time': 1306627200, 'ending_time': 1306627200},)",0.013020655804758334
996,COUGAR,1307491200,1307923200,"({'starting_time': 1307491200, 'ending_time': 1307923200},)",0.06817097279978185
997,IKEA,1307836800,1307836800,"({'starting_time': 1307836800, 'ending_time': 1307836800},)",0.021814711295930194
998,ANTELOPE,1308441600,1308614400,"({'starting_time': 1308441600, 'ending_time': 1308614400},)",0.17724452927943282
999,QUINN,1308614400,1308700800,"({'starting_time': 1308614400, 'ending_time': 1308700800},)",0.10750562410525598
1000,HIGHWAY,1308873600,1308873600,"({'starting_time': 1308873600, 'ending_time': 1308873600},)",0.013191083236757788
1001,EASTMAN,1308873600,1308873600,"({'starting_time': 1308873600, 'ending_time': 1308873600},)",0.011248210511964006
1002,REST,1309046400,1309046400,"({'starting_time': 1309046400, 'ending_time': 1309046400},)",0.019599154679937284
1003,STAGE,1309132800,1309564800,"({'starting_time': 1309132800, 'ending_time': 1309564800},)",0.041345695003067694
1004,SPANISH,1309478400,1309824000,"({'starting_time': 1309478400, 'ending_time': 1309824000},)",0.01697457222714568
1005,CHRISMAN,1309824000,1309824000,"({'starting_time': 1309824000, 'ending_time': 1309824000},)",0.01363419455995637
1006,CARBON CANYON,1309996800,1310083200,"({'starting_time': 1309996800, 'ending_time': 1310083200},)",0.01731542709114459
1007,LION,1310083200,1318204800,"({'starting_time': 1310083200, 'ending_time': 1318204800},)",0.698752471197764
1008,GRANITE,1310169600,1310428800,"({'starting_time': 1310169600, 'ending_time': 1310428800},)",0.026586679391914923
1009,KRISTA,1310169600,1310342400,"({'starting_time': 1310169600, 'ending_time': 1310342400},)",0.012270775103960734
1010,FLYNN,1310601600,1310601600,"({'starting_time': 1310601600, 'ending_time': 1310601600},)",0.017042743199945462
1011,SCORPION COMPLEX,1310688000,1310947200,"({'starting_time': 1310688000, 'ending_time': 1310947200},)",0.10038175744767878
1012,EAGLE,1311206400,1311897600,"({'starting_time': 1311206400, 'ending_time': 1311897600},)",0.48060535823846207
1013,FLYNN,1311206400,1311292800,"({'starting_time': 1311206400, 'ending_time': 1311292800},)",0.018576590087940555
1014,ROMERO,1311379200,1311379200,"({'starting_time': 1311379200, 'ending_time': 1311379200},)",0.016667802849546665
1015,ROMERO,1311379200,1311379200,"({'starting_time': 1311379200, 'ending_time': 1311379200},)",0.016667802849546665
1016,AVALANCHE,1312070400,1317427200,"({'starting_time': 1312070400, 'ending_time': 1317427200},)",0.027847842388710888
1017,PASS,1312329600,1312675200,"({'starting_time': 1312329600, 'ending_time': 1312675200},)",0.02099665962233281
1018,GILMAN,1312588800,1312675200,"({'starting_time': 1312588800, 'ending_time': 1312675200},)",0.03221078464789692
1019,KNOXVILLE,1313193600,1313366400,"({'starting_time': 1313193600, 'ending_time': 1313366400},)",0.01724725611834481
1020,ANNIE,1313625600,1313884800,"({'starting_time': 1313625600, 'ending_time': 1313884800},)",0.07076146976617356
1021,ONION,1313712000,1315612800,"({'starting_time': 1313712000, 'ending_time': 1315612800},)",0.019156043356738702
1022,KEN,1313971200,1314144000,"({'starting_time': 1313971200, 'ending_time': 1314144000},)",0.012713886427159315
1023,MOTOR,1314230400,1315094400,"({'starting_time': 1314230400, 'ending_time': 1315094400},)",0.17830117935782944
1024,BEACON,1314403200,1314403200,"({'starting_time': 1314403200, 'ending_time': 1314403200},)",0.024371122775922013
1025,OASIS,1314403200,1314662400,"({'starting_time': 1314403200, 'ending_time': 1314662400},)",0.01210034767196128
1026,WELLS,1314489600,1314748800,"({'starting_time': 1314489600, 'ending_time': 1314748800},)",0.058729293067012064
1027,KELLER,1314576000,1314748800,"({'starting_time': 1314576000, 'ending_time': 1314748800},)",0.015611152771150045
1028,HILL,1314921600,1315440000,"({'starting_time': 1314921600, 'ending_time': 1315440000},)",0.0386870270638762
1029,SODA,1315008000,1315094400,"({'starting_time': 1315008000, 'ending_time': 1315094400},)",0.052082623219033335
1030,FIGUEROA,1315008000,1315180800,"({'starting_time': 1315008000, 'ending_time': 1315180800},)",0.023791669507123865
1031,CANYON,1315094400,1315699200,"({'starting_time': 1315094400, 'ending_time': 1315699200},)",0.49713681914240915
1032,ROADRUNNER,1315094400,1315180800,"({'starting_time': 1315094400, 'ending_time': 1315180800},)",0.01141863794396346
1033,WILLOWS,1315094400,1315353600,"({'starting_time': 1315094400, 'ending_time': 1315353600},)",0.010566500783966187
1034,WAGON WHEEL,1315180800,1315267200,"({'starting_time': 1315180800, 'ending_time': 1315267200},)",0.017042743199945462
1035,MILTON,1315526400,1315699200,"({'starting_time': 1315526400, 'ending_time': 1315699200},)",0.03824391574067762
1037,BRECKENRIDGE COMPLEX,1315612800,1316217600,"({'starting_time': 1315612800, 'ending_time': 1316217600},)",0.8593973686004499
1038,KEENE COMPLEX,1315612800,1315958400,"({'starting_time': 1315612800, 'ending_time': 1315958400},)",0.08783829845251892
1036,COMANCHE COMPLEX,1315612800,1316217600,"({'starting_time': 1315612800, 'ending_time': 1316217600},)",1.0
1039,TENNESSEE,1315699200,1315785600,"({'starting_time': 1315699200, 'ending_time': 1315785600},)",0.012952484831958553
1040,JOHN,1315872000,1316131200,"({'starting_time': 1315872000, 'ending_time': 1316131200},)",0.18065307791942192
1041,TAMARACK,1315872000,1318809600,"({'starting_time': 1315872000, 'ending_time': 1318809600},)",0.03446042675028973
1042,LONG,1315872000,1317427200,"({'starting_time': 1315872000, 'ending_time': 1317427200},)",0.016463289931147318
1043,BURST COMPLEX,1316044800,1316044800,"({'starting_time': 1316044800, 'ending_time': 1316044800},)",0.01731542709114459
1044,MINT,1316217600,1316304000,"({'starting_time': 1316217600, 'ending_time': 1316304000},)",0.021610198377530847
1045,65 FIRE,1316736000,1316736000,"({'starting_time': 1316736000, 'ending_time': 1316736000},)",0.06834140023178131
1046,RUTH,1316736000,1317168000,"({'starting_time': 1316736000, 'ending_time': 1317168000},)",0.04976481014384075
