,label,start_unix,end_unix,times,intensity
1178,CAMPBELL,1388620800,1389312000,"({'starting_time': 1388620800, 'ending_time': 1389312000},)",0.0064525273020230355
1179,RED,1388793600,1389484800,"({'starting_time': 1388793600, 'ending_time': 1389484800},)",0.0024840365220504864
1180,SODA,1389657600,1397865600,"({'starting_time': 1389657600, 'ending_time': 1397865600},)",0.012024825446082235
1181,COLBY,1389830400,1390521600,"({'starting_time': 1389830400, 'ending_time': 1390521600},)",0.014561078952079727
1182,PIERCE,1394841600,1394928000,"({'starting_time': 1394841600, 'ending_time': 1394928000},)",0.002610849197350361
1183,ETIWANDA,1398816000,1398902400,"({'starting_time': 1398816000, 'ending_time': 1398902400},)",0.01641105209763084
1184,BERNARDO,1399939200,1400630400,"({'starting_time': 1399939200, 'ending_time': 1400630400},)",0.011547413021423883
1185,MIGUELITO,1399939200,1400198400,"({'starting_time': 1399939200, 'ending_time': 1400198400},)",0.0047144476935012235
1186,SAN DIEGO COMPLEX,1400025600,1400716800,"({'starting_time': 1400025600, 'ending_time': 1400716800},)",0.018186429551829086
1187,POINSETTIA,1400025600,1400284800,"({'starting_time': 1400025600, 'ending_time': 1400284800},)",0.004475741481172048
1188,BASILONE COMPLEX,1400284800,1400457600,"({'starting_time': 1400284800, 'ending_time': 1400457600},)",0.15844124843349047
1189,HUNTER,1401062400,1401840000,"({'starting_time': 1401062400, 'ending_time': 1401840000},)",0.005050128304589127
1190,59,1401840000,1402272000,"({'starting_time': 1401840000, 'ending_time': 1402272000},)",0.002998746792385272
1191,SHIRLEY,1402617600,1403308800,"({'starting_time': 1402617600, 'ending_time': 1403308800},)",0.01898460344930477
1192,STONY,1403136000,1403395200,"({'starting_time': 1403136000, 'ending_time': 1403395200},)",0.03610431461478785
1193,GUN CLUB,1403136000,1403136000,"({'starting_time': 1403136000, 'ending_time': 1403136000},)",0.0029838276541146983
1194,BUTTS,1404172800,1404950400,"({'starting_time': 1404172800, 'ending_time': 1404950400},)",0.032076147281733004
1195,MODOC JULY COMPLEX,1404172800,1404691200,"({'starting_time': 1404172800, 'ending_time': 1404691200},)",0.01914125440114579
1196,MONTICELLO,1404432000,1405209600,"({'starting_time': 1404432000, 'ending_time': 1405209600},)",0.04839768454974041
1197,BULLY,1405036800,1406073600,"({'starting_time': 1405036800, 'ending_time': 1406073600},)",0.0944456048218655
1198,NICOLLS,1405036800,1405728000,"({'starting_time': 1405036800, 'ending_time': 1405728000},)",0.012532076147281733
1199,DARK HOLE,1405468800,1408492800,"({'starting_time': 1405468800, 'ending_time': 1408492800},)",0.008033955958703825
1200,GUN CLUB,1406160000,1406937600,"({'starting_time': 1406160000, 'ending_time': 1406937600},)",0.0031479381750910067
1201,SAND,1406246400,1407024000,"({'starting_time': 1406246400, 'ending_time': 1407024000},)",0.0316285731336158
1203,KELLEY,1406332800,1406332800,"({'starting_time': 1406332800, 'ending_time': 1406332800},)",0.0074595691352867454
1202,EL PORTAL,1406332800,1407110400,"({'starting_time': 1406332800, 'ending_time': 1407110400},)",0.03497791967535955
1204,FRENCH,1406505600,1408320000,"({'starting_time': 1406505600, 'ending_time': 1408320000},)",0.10322551769409799
1205,WEB,1406592000,1409097600,"({'starting_time': 1406592000, 'ending_time': 1409097600},)",0.00281971713313839
1206,BALD,1406678400,1408147200,"({'starting_time': 1406678400, 'ending_time': 1408147200},)",0.29641343915975416
1207,KNF BEAVER,1406678400,1409356800,"({'starting_time': 1406678400, 'ending_time': 1409356800},)",0.2424061586202781
1208,DAY,1406678400,1407888000,"({'starting_time': 1406678400, 'ending_time': 1407888000},)",0.09811571283642657
1209,LODGE COMPLEX,1406678400,1411257600,"({'starting_time': 1406678400, 'ending_time': 1411257600},)",0.09350569911081937
1210,COFFEE COMPLEX,1406678400,1409443200,"({'starting_time': 1406678400, 'ending_time': 1409443200},)",0.046681983648624456
1211,EILER,1406764800,1408838400,"({'starting_time': 1406764800, 'ending_time': 1408838400},)",0.24180939308945515
1212,LITTLE DEER,1406764800,1407715200,"({'starting_time': 1406764800, 'ending_time': 1407715200},)",0.04105000895148296
1213,JULY COMPLEX,1407024000,1411603200,"({'starting_time': 1407024000, 'ending_time': 1411603200},)",0.37329175866801934
1214,THIRTY ONE 2,1407542400,1407542400,"({'starting_time': 1407542400, 'ending_time': 1407542400},)",0.002760040580056096
1215,HAPPY CAMP COMPLEX,1407974400,1414713600,"({'starting_time': 1407974400, 'ending_time': 1414713600},)",1.0
1216,MEADOW,1408060800,1411948800,"({'starting_time': 1408060800, 'ending_time': 1411948800},)",0.03559706391358835
1217,WAY,1408320000,1409184000,"({'starting_time': 1408320000, 'ending_time': 1409184000},)",0.030173957152234886
1218,JUNCTION,1408320000,1408924800,"({'starting_time': 1408320000, 'ending_time': 1408924800},)",0.0045652563107954885
1219,OREGON,1408838400,1409356800,"({'starting_time': 1408838400, 'ending_time': 1409356800},)",0.0034388613713671897
1220,GULCH,1410307200,1410739200,"({'starting_time': 1410307200, 'ending_time': 1410739200},)",0.009697439875872769
1221,SILVERADO,1410480000,1411171200,"({'starting_time': 1410480000, 'ending_time': 1411171200},)",0.007347675598257445
1222,KING,1410566400,1412812800,"({'starting_time': 1410566400, 'ending_time': 1412812800},)",0.728926717192815
1223,BLACK,1410566400,1410912000,"({'starting_time': 1410566400, 'ending_time': 1410912000},)",0.0030062063615205587
1224,COURTNEY,1410652800,1411344000,"({'starting_time': 1410652800, 'ending_time': 1411344000},)",0.002387062123291759
1225,TRACT 17,1410912000,1411084800,"({'starting_time': 1410912000, 'ending_time': 1411084800},)",0.0029465298084382645
1226,NELSON,1410998400,1411257600,"({'starting_time': 1410998400, 'ending_time': 1411257600},)",0.0037297845676433727
1227,DOG ROCK,1412640000,1413072000,"({'starting_time': 1412640000, 'ending_time': 1413072000},)",0.002319926001074178
1228,APPLEGATE,1412726400,1413936000,"({'starting_time': 1412726400, 'ending_time': 1413936000},)",0.0034239422330966164
