,label,start_unix,end_unix,times,intensity
1284,CAMP ROBERTS,1463529600,1463702400,"({'starting_time': 1463529600, 'ending_time': 1463702400},)",0.035954359659828364
1285,METZ,1463875200,1464134400,"({'starting_time': 1463875200, 'ending_time': 1464134400},)",0.037542860463764746
1286,CHIMNEY,1464739200,1465257600,"({'starting_time': 1464739200, 'ending_time': 1465257600},)",0.012824238197632747
1287,STONY,1464825600,1466121600,"({'starting_time': 1464825600, 'ending_time': 1466121600},)",0.02905794153542163
1288,COLEMAN,1464998400,1466121600,"({'starting_time': 1464998400, 'ending_time': 1466121600},)",0.02440867088975417
1289,SODA,1464998400,1465171200,"({'starting_time': 1464998400, 'ending_time': 1465171200},)",0.01940101896514984
1290,OLD,1464998400,1465516800,"({'starting_time': 1464998400, 'ending_time': 1465516800},)",0.004503980937990352
1291,PONY,1465257600,1475366400,"({'starting_time': 1465257600, 'ending_time': 1475366400},)",0.02770190426376862
1292,SHERPA,1465948800,1466640000,"({'starting_time': 1465948800, 'ending_time': 1466640000},)",0.07239301834524708
1293,BORDER 3,1466294400,1467331200,"({'starting_time': 1466294400, 'ending_time': 1467331200},)",0.07370062571434106
1294,FISH,1466380800,1467676800,"({'starting_time': 1466380800, 'ending_time': 1467676800},)",0.04119447511671607
1295,RESERVOIR,1466380800,1467676800,"({'starting_time': 1466380800, 'ending_time': 1467676800},)",0.011100133666531063
1296,ERSKINE,1466640000,1468022400,"({'starting_time': 1466640000, 'ending_time': 1468022400},)",0.46511109819647045
1297,MARINA,1466726400,1467590400,"({'starting_time': 1466726400, 'ending_time': 1467590400},)",0.006334631254721916
1298,BOULDER COMPLEX,1466812800,1152057600,"({'starting_time': 1466812800, 'ending_time': 1152057600},)",0.03390093179132524
1299,DINOSAUR,1466812800,1466899200,"({'starting_time': 1466812800, 'ending_time': 1466899200},)",0.012068731717711783
1300,LAKES,1466899200,1477872000,"({'starting_time': 1466899200, 'ending_time': 1477872000},)",0.009695666492319018
1301,TRAILHEAD,1467072000,1471132800,"({'starting_time': 1467072000, 'ending_time': 1471132800},)",0.0546773599891517
1302,RANCHO,1467072000,1467244800,"({'starting_time': 1467072000, 'ending_time': 1467244800},)",0.0036031847503922823
1303,PINE,1467244800,1468713600,"({'starting_time': 1467244800, 'ending_time': 1468713600},)",0.022316499099203812
1304,COLYEAR,1467244800,1467763200,"({'starting_time': 1467244800, 'ending_time': 1467763200},)",0.0044942949574785455
1305,CURRY,1467331200,1467590400,"({'starting_time': 1467331200, 'ending_time': 1467590400},)",0.028515526626760428
1306,DEER,1467331200,1468108800,"({'starting_time': 1467331200, 'ending_time': 1468108800},)",0.01728947521357587
1307,APPALOOSA,1467417600,1468540800,"({'starting_time': 1467417600, 'ending_time': 1468540800},)",0.003002653958660235
1309,FIDDLER,1467936000,1468022400,"({'starting_time': 1467936000, 'ending_time': 1468022400},)",0.0029348520950775846
1308,FORT,1467936000,1468022400,"({'starting_time': 1467936000, 'ending_time': 1468022400},)",0.005366033203541194
1310,SAGE,1468022400,1468627200,"({'starting_time': 1468022400, 'ending_time': 1468627200},)",0.010654578562987932
1311,PACHECO,1468281600,1468800000,"({'starting_time': 1468281600, 'ending_time': 1468800000},)",0.0033029193545262587
1312,ROBLAR,1469059200,1469577600,"({'starting_time': 1469059200, 'ending_time': 1469577600},)",0.012059045737199977
1313,SOBERANES,1469145600,1472342400,"({'starting_time': 1469145600, 'ending_time': 1472342400},)",1.0
1314,SAND,1469145600,1470441600,"({'starting_time': 1469145600, 'ending_time': 1470441600},)",0.4008349315201178
1315,GOOSE,1469836800,1470700800,"({'starting_time': 1469836800, 'ending_time': 1470700800},)",0.02170628232695996
1316,COLD,1470096000,1470960000,"({'starting_time': 1470096000, 'ending_time': 1470960000},)",0.05551035431316712
1317,99,1470096000,1470614400,"({'starting_time': 1470096000, 'ending_time': 1470614400},)",0.00503670986613975
1318,CLARK,1470268800,1470960000,"({'starting_time': 1470268800, 'ending_time': 1470960000},)",0.027304779062784525
1319,PILOT,1470528000,1471305600,"({'starting_time': 1470528000, 'ending_time': 1471305600},)",0.07855330195075648
1320,MINERAL,1470614400,1471564800,"({'starting_time': 1470614400, 'ending_time': 1471564800},)",0.06828616260824083
1321,HORSESHOE,1470700800,1471392000,"({'starting_time': 1470700800, 'ending_time': 1471392000},)",0.0035741268088568608
1322,CHIMNEY,1471046400,1473206400,"({'starting_time': 1471046400, 'ending_time': 1473206400},)",0.44783130896340634
1323,CLAYTON,1471046400,1472860800,"({'starting_time': 1471046400, 'ending_time': 1472860800},)",0.03805621743089053
1324,BLUECUT,1471305600,1473292800,"({'starting_time': 1471305600, 'ending_time': 1473292800},)",0.35134925708529474
1325,CEDAR,1471305600,1474675200,"({'starting_time': 1471305600, 'ending_time': 1474675200},)",0.28401232056721104
1326,REY,1471478400,1473897600,"({'starting_time': 1471478400, 'ending_time': 1473897600},)",0.3158210805679859
1327,BEALE,1471478400,1471564800,"({'starting_time': 1471478400, 'ending_time': 1471564800},)",0.0037678464190930047
1328,MOKELUMNE,1471564800,1474329600,"({'starting_time': 1471564800, 'ending_time': 1474329600},)",0.006344317235233723
1329,TULLY,1471824000,1473379200,"({'starting_time': 1471824000, 'ending_time': 1473379200},)",0.005801902326572519
1330,TULE,1471824000,1471824000,"({'starting_time': 1471824000, 'ending_time': 1471824000},)",0.0038259623021638482
1331,GRADE,1471996800,1473465600,"({'starting_time': 1471996800, 'ending_time': 1473465600},)",0.006877046163383119
1332,RANGE,1472169600,1472601600,"({'starting_time': 1472169600, 'ending_time': 1472601600},)",0.005811588307084326
1333,HAVILA,1472256000,1472601600,"({'starting_time': 1472256000, 'ending_time': 1472601600},)",0.002944538075589392
1334,WILLOW,1472342400,1472947200,"({'starting_time': 1472342400, 'ending_time': 1472947200},)",0.004358691230313245
1335,BOGART,1472515200,1473033600,"({'starting_time': 1472515200, 'ending_time': 1473033600},)",0.014238391352356598
1336,SADDLE,1473033600,1474502400,"({'starting_time': 1473033600, 'ending_time': 1474502400},)",0.007748784409445768
1337,WILLARD,1473552000,1476230400,"({'starting_time': 1473552000, 'ending_time': 1476230400},)",0.024941399817903567
1338,HOWARD,1473552000,1473897600,"({'starting_time': 1473552000, 'ending_time': 1473897600},)",0.00368067259448674
1339,HOG,1473724800,1473724800,"({'starting_time': 1473724800, 'ending_time': 1473724800},)",0.0031091997442901143
1340,CROWN,1473897600,1477872000,"({'starting_time': 1473897600, 'ending_time': 1477872000},)",0.007748784409445768
1341,CANYON,1474070400,1474675200,"({'starting_time': 1474070400, 'ending_time': 1474675200},)",0.12341876368144747
1342,OWENS RIVER,1474070400,1476489600,"({'starting_time': 1474070400, 'ending_time': 1476489600},)",0.05272079192576665
1343,SOUP COMPLEX,1474070400,1477872000,"({'starting_time': 1474070400, 'ending_time': 1477872000},)",0.026365238953139226
1344,FLAT,1474243200,1474502400,"({'starting_time': 1474243200, 'ending_time': 1474502400},)",0.0029735960171248135
1345,SAWMILL,1474761600,1475280000,"({'starting_time': 1474761600, 'ending_time': 1475280000},)",0.014984211851765754
1346,LOMA,1474848000,1478563200,"({'starting_time': 1474848000, 'ending_time': 1478563200},)",0.04333507680982546
1347,MARSHES,1474848000,1475539200,"({'starting_time': 1474848000, 'ending_time': 1475539200},)",0.010460858952751787
1348,SLATE,1475539200,1478304000,"({'starting_time': 1475539200, 'ending_time': 1478304000},)",0.020921717905503574
1349,SACATA,1476144000,1476835200,"({'starting_time': 1476144000, 'ending_time': 1476835200},)",0.02034055907479514
1350,JACOBSON,1476921600,1477958400,"({'starting_time': 1476921600, 'ending_time': 1477958400},)",0.01648553883109587
1351,MEADOW,1477699200,1479772800,"({'starting_time': 1477699200, 'ending_time': 1479772800},)",0.042104957284825946
1352,HIDDEN,1478044800,1479859200,"({'starting_time': 1478044800, 'ending_time': 1479859200},)",0.02681079405668236
