,label,start_unix,end_unix,times,intensity
472,URUTTA,1114905600,1126742400,"({'starting_time': 1114905600, 'ending_time': 1126742400},)",0.006126760563380282
473,CLAYTON,1116115200,1116201600,"({'starting_time': 1116115200, 'ending_time': 1116201600},)",0.004225352112676056
474,MENDOTA,1116288000,1116288000,"({'starting_time': 1116288000, 'ending_time': 1116288000},)",0.011267605633802818
475,BLM #1(APRICOT),1116288000,1116288000,"({'starting_time': 1116288000, 'ending_time': 1116288000},)",0.0093943661971831
476,JOHNSON RANCH VMP,1116460800,1117584000,"({'starting_time': 1116460800, 'ending_time': 1117584000},)",0.005873239436619718
477,LEHIGH KERN #7,1117670400,1117670400,"({'starting_time': 1117670400, 'ending_time': 1117670400},)",0.011267605633802818
478,STATE 783 (ELM),1117670400,1117843200,"({'starting_time': 1117670400, 'ending_time': 1117843200},)",0.004225352112676056
479,DOS AMIGOS,1117756800,1117756800,"({'starting_time': 1117756800, 'ending_time': 1117756800},)",0.01735211267605634
480,FIVE,1117843200,1117929600,"({'starting_time': 1117843200, 'ending_time': 1117929600},)",0.07766197183098592
481,SPERRY,1117843200,1117843200,"({'starting_time': 1117843200, 'ending_time': 1117843200},)",0.018732394366197183
482,VASCO,1117929600,1117929600,"({'starting_time': 1117929600, 'ending_time': 1117929600},)",0.004507042253521127
483,CITY (DULCE),1118016000,1118102400,"({'starting_time': 1118016000, 'ending_time': 1118102400},)",0.008802816901408451
484,PIONEER,1119052800,1119139200,"({'starting_time': 1119052800, 'ending_time': 1119139200},)",0.026422535211267605
485,HACKBERRY ASSIST,1119398400,1119830400,"({'starting_time': 1119398400, 'ending_time': 1119830400},)",1.0
486,PARADISE,1119398400,1119657600,"({'starting_time': 1119398400, 'ending_time': 1119657600},)",0.04340845070422535
487,SOBOBA,1119398400,1119571200,"({'starting_time': 1119398400, 'ending_time': 1119571200},)",0.028169014084507043
488,BRAGDON,1120176000,1120262400,"({'starting_time': 1120176000, 'ending_time': 1120262400},)",0.006901408450704225
489,BAILEY,1120262400,1120262400,"({'starting_time': 1120262400, 'ending_time': 1120262400},)",0.014873239436619718
490,"ASSIST ""TOVEY""",1120521600,1120608000,"({'starting_time': 1120521600, 'ending_time': 1120608000},)",0.016901408450704224
491,ASSIST ORC(YORBA LINDA),1120521600,1120521600,"({'starting_time': 1120521600, 'ending_time': 1120521600},)",0.015183098591549296
492,MILLWOOD,1120694400,1120694400,"({'starting_time': 1120694400, 'ending_time': 1120694400},)",0.036619718309859155
493,SQF NINE(NINE),1120867200,1120867200,"({'starting_time': 1120867200, 'ending_time': 1120867200},)",0.01619718309859155
494,HIGH,1120867200,1120867200,"({'starting_time': 1120867200, 'ending_time': 1120867200},)",0.013676056338028169
495,SIERRA,1121299200,1121385600,"({'starting_time': 1121299200, 'ending_time': 1121385600},)",0.007394366197183098
497,KRN-25 (CHINA LAKE),1121731200,1121731200,"({'starting_time': 1121731200, 'ending_time': 1121731200},)",0.018056338028169014
496,TESLA,1121731200,1121817600,"({'starting_time': 1121731200, 'ending_time': 1121817600},)",0.09498591549295775
498,BRUNS,1121817600,1121817600,"({'starting_time': 1121817600, 'ending_time': 1121817600},)",0.004929577464788733
499,ASSIST-KINGSTON,1121990400,1122076800,"({'starting_time': 1121990400, 'ending_time': 1122076800},)",0.04929577464788732
500,ASSIST(PINYON COMPLEX),1121990400,1121990400,"({'starting_time': 1121990400, 'ending_time': 1121990400},)",0.010464788732394367
501,QUARTZ,1122249600,1122422400,"({'starting_time': 1122249600, 'ending_time': 1122422400},)",0.007746478873239437
502,RANCH,1122249600,1122249600,"({'starting_time': 1122249600, 'ending_time': 1122249600},)",0.0060563380281690145
503,KOOPMAN,1122336000,1122336000,"({'starting_time': 1122336000, 'ending_time': 1122336000},)",0.0060563380281690145
504,RED,1122422400,1122508800,"({'starting_time': 1122422400, 'ending_time': 1122508800},)",0.012253521126760564
505,LAGUNA,1122681600,1122681600,"({'starting_time': 1122681600, 'ending_time': 1122681600},)",0.006295774647887324
507,WENTZEL,1122854400,1122854400,"({'starting_time': 1122854400, 'ending_time': 1122854400},)",0.005014084507042254
506,COWPIE(I5),1122854400,1122854400,"({'starting_time': 1122854400, 'ending_time': 1122854400},)",0.04507042253521127
508,ASSIST BDF (HALLORAN,1123027200,1123027200,"({'starting_time': 1123027200, 'ending_time': 1123027200},)",0.02112676056338028
509,"MNF ASSIST - DEER
FIER(DEER)",1123545600,1123545600,"({'starting_time': 1123545600, 'ending_time': 1123545600},)",0.023943661971830985
510,36-2(36),1123632000,1123718400,"({'starting_time': 1123632000, 'ending_time': 1123718400},)",0.038028169014084505
511,"ASSIST#54
MSN#50885(SHOTHOLE)",1124236800,1124236800,"({'starting_time': 1124236800, 'ending_time': 1124236800},)",0.004929577464788733
512,ROAD 33(33),1124582400,1124582400,"({'starting_time': 1124582400, 'ending_time': 1124582400},)",0.005633802816901409
513,BLM-B4TX(BARREL),1124668800,1124668800,"({'starting_time': 1124668800, 'ending_time': 1124668800},)",0.3492957746478873
514,TNF-1215(HARDING),1124841600,1124841600,"({'starting_time': 1124841600, 'ending_time': 1124841600},)",0.031971830985915495
515,FOLEY(ARTOIS),1124928000,1124928000,"({'starting_time': 1124928000, 'ending_time': 1124928000},)",0.004422535211267606
516,ASSIST (BLAISDELL),1125014400,1125360000,"({'starting_time': 1125014400, 'ending_time': 1125360000},)",0.07736619718309859
517,MANTON,1125014400,1125273600,"({'starting_time': 1125014400, 'ending_time': 1125273600},)",0.025774647887323945
518,MORGAN,1125014400,1125014400,"({'starting_time': 1125014400, 'ending_time': 1125014400},)",0.007042253521126761
519,ENGINEERS,1125273600,1125273600,"({'starting_time': 1125273600, 'ending_time': 1125273600},)",0.007746478873239437
520,10238,1125360000,1125360000,"({'starting_time': 1125360000, 'ending_time': 1125360000},)",0.014084507042253521
521,"ASSIST ""GORMAN""",1125705600,1125878400,"({'starting_time': 1125705600, 'ending_time': 1125878400},)",0.0336056338028169
522,CABEU003316(JOHNSO,1125792000,1125878400,"({'starting_time': 1125792000, 'ending_time': 1125878400},)",0.019619718309859153
523,VOLCAN,1125964800,1126396800,"({'starting_time': 1125964800, 'ending_time': 1126396800},)",0.009647887323943663
524,KINGSTON 3,1126483200,1126656000,"({'starting_time': 1126483200, 'ending_time': 1126656000},)",0.009154929577464789
525,CLOVER,1126828800,1126915200,"({'starting_time': 1126828800, 'ending_time': 1126915200},)",0.010577464788732394
526,LICHENS,1126915200,1126915200,"({'starting_time': 1126915200, 'ending_time': 1126915200},)",0.010514084507042254
527,PINE,1127088000,1127088000,"({'starting_time': 1127088000, 'ending_time': 1127088000},)",0.022535211267605635
528,LOS BANOS,1127174400,1127174400,"({'starting_time': 1127174400, 'ending_time': 1127174400},)",0.01267605633802817
529,LA PALOMA,1127174400,1127174400,"({'starting_time': 1127174400, 'ending_time': 1127174400},)",0.009859154929577466
530,KERN #44 (CRANE),1127606400,1127606400,"({'starting_time': 1127606400, 'ending_time': 1127606400},)",0.005802816901408451
